report,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Uruguay,Brazil,666278,857160,1012458,1288350,1643831,1359967,1530768,2174470,2184177,2070658,2945318,2726867,2743828,2348119,3008947,2479464,1761683,2070260,2900899,3178926
Uruguay,China,209551,282571,402432,626023,1027685,819613,1477575,2001564,2413269,2323634,2458490,1959159,1786564,2159528,2071256,1948991,1703048,2858028,2983077,2972405
Uruguay,United States of America,326063,355178,478359,636701,883884,744419,975277,1258319,1359233,1754688,1605794,1295136,1114385,1587679,1384265,1616175,1217057,1798599,2864807,1878742
Uruguay,Argentina,687425,861529,1198721,1204876,1800421,1608261,1539066,1984193,1868277,1752795,1562973,1224747,1130262,1223790,1266848,1160436,1076693,1366274,1568941,1738257
Uruguay,Italy,104712,105654,120992,120737,140268,119926,188227,188477,182914,229206,205349,218680,241910,254106,289069,268452,229146,244231,301109,381302
Uruguay,Germany,91572,107012,186702,181023,213081,203730,314225,397552,524275,477730,559671,495543,375377,282397,269010,266602,280239,531130,373050,380681
Uruguay,Netherlands,26473,27598,43738,62571,63339,64302,88789,222255,115905,100531,122099,95977,100149,138893,140312,114296,108957,131762,132386,335340
Uruguay,Spain,72271,71378,95122,111843,157115,129745,163414,215252,215221,334993,312538,332114,351720,251319,220533,222358,215892,268110,316570,333126
Uruguay,Paraguay,444142,474081,359804,73353,135195,62845,67856,83950,108131,184670,181696,258617,173184,285670,145274,112515,104704,115820,202600,258816
Uruguay,France,83090,98636,131412,141284,172353,121527,218577,232153,248183,275146,244750,176517,141198,181141,202645,179879,166182,225204,245221,243044
Uruguay,Chile,84425,103540,101511,112013,138554,140187,131658,167208,176750,214888,179431,151273,135779,128647,123251,139460,129753,178020,201138,183279
Uruguay,Switzerland,62443,71778,84474,90141,141838,108330,130601,149334,249495,299117,288662,253691,242708,173183,173481,159686,144521,148604,150474,171534
Uruguay,United Kingdom,56448,68155,73719,70370,116669,86217,118078,184846,169534,246738,182634,331256,162485,227664,179949,174341,105744,122847,151642,164895
Uruguay,Türkiye,1671,3054,3777,8337,14462,10545,31676,30079,45594,45439,131727,45889,37099,41719,44881,48463,51567,115427,134593,156435
Uruguay,"Korea, Republic of",39587,57073,54237,71637,99000,64430,159178,217061,183992,386936,255346,192795,100385,115471,122005,121278,75150,134004,152393,136700
Uruguay,Belgium,23104,19908,21075,38792,52611,51532,78733,97961,117056,136591,117293,102956,144260,121111,63964,61758,72713,177096,154697,130922
Uruguay,Canada,29914,19741,21336,23367,198635,24043,111743,116937,42406,48113,52775,64636,113744,73903,72141,60005,48902,71842,134215,99641
Uruguay,Finland,6918,11630,198722,93514,40262,31042,41462,37468,248901,68938,28063,40468,36201,34424,53623,49318,48250,334869,111129,79032
Uruguay,Japan,54230,53940,68177,78384,105203,72020,106976,100928,103327,115819,84616,77590,56394,63068,63962,52851,40972,66285,70855,76181
Uruguay,"Hong Kong, China",24607,37079,34171,36596,49919,42744,83096,109394,114856,137881,112743,97353,83469,100651,90987,108931,84708,91234,91274,69579
Uruguay,Austria,9018,12738,73885,25993,18883,18593,20860,21087,65856,24161,27184,21753,14756,21396,20682,21751,23472,32899,40346,56636
Uruguay,"Taipei, Chinese",41884,68143,74579,88917,89490,76743,116105,143464,156188,147286,111932,68154,52145,56676,59158,38566,57812,49355,60931,45848
Uruguay,Denmark,8223,7240,10888,14253,25500,26502,57611,68046,67069,183280,122525,125942,63185,48227,44995,32573,31046,45407,55776,44178
Uruguay,Sweden,16803,11927,27264,33708,42164,37260,28657,46413,59242,70916,46704,44639,35432,43584,48331,69869,48279,66325,40759,40216
Uruguay,Malaysia,8442,7188,14481,16634,26256,17020,44050,46404,59488,45438,43372,31585,22480,38714,20317,19644,17794,31422,45813,33353
Uruguay,Ecuador,1175,3142,2996,3442,5242,6687,32660,53033,13817,20587,20302,18522,24496,25597,28233,24629,23766,23649,26934,33183
Uruguay,Thailand,7826,8390,9654,11496,18578,19175,53041,79371,93653,56490,52038,41602,33698,30687,33279,25636,28407,40146,42035,31793
Uruguay,Colombia,5574,6828,5563,9081,18888,11990,14300,22148,20122,23226,21111,29761,19438,36132,54046,54312,38145,29826,39303,28243
Uruguay,Peru,8946,6535,8457,9165,19403,15128,23327,44410,33597,35624,37397,34673,31076,39745,47060,41550,19412,30794,34175,27390
Uruguay,Norway,3758,1853,5319,5189,7337,5128,4067,5550,152040,22828,19778,23645,13949,13585,93325,17779,20626,16605,19356,25304
Uruguay,Ireland,4518,7196,6796,13338,14115,11583,13967,13497,15932,20759,17402,21000,18857,16355,23708,56099,53365,68673,44387,24360
Uruguay,Poland,3038,4025,4442,4963,11606,6424,11433,31426,13510,11891,14965,7372,12647,20376,16721,22917,43768,22845,22693,22934
Uruguay,South Africa,5144,6857,8342,175836,179657,7494,12795,23492,15969,12492,22564,22414,25786,31376,19150,11637,11384,26734,34687,21266
Uruguay,Singapore,10242,8351,7337,6885,25274,31287,55370,47927,47309,55966,43665,35811,19830,18943,16573,18644,8510,10204,15646,17549
Uruguay,Portugal,2662,1363,3396,3207,5156,5346,9181,9051,20511,22909,51808,32057,17489,10261,14663,11157,14251,19453,22010,17028
Uruguay,"Bolivia, Plurinational State of",1433,1596,1319,2458,3234,3037,5524,7287,5868,8342,7574,6045,6704,9135,9514,16461,9194,11398,19613,15978
Uruguay,Romania,345,338,306,237,569,87,145,2479,2911,8489,10067,4577,3991,6376,5306,5437,8197,11427,8530,15327
Uruguay,New Zealand,4773,3064,3297,7019,9700,4730,6455,15579,11767,12487,12644,15002,15969,10479,11052,9479,11609,12591,8754,9234
Uruguay,Czech Republic,1068,1833,9164,5844,4619,7836,8411,15681,12593,8938,9419,25233,6325,8284,6815,7204,7810,14342,10032,8273
Uruguay,Hungary,1003,1149,1549,1969,1800,1804,2390,4199,17301,8910,6032,8344,8470,7379,3683,6367,8606,20864,9650,7456
Uruguay,Greece,2231,3504,2028,2296,3149,4257,8404,6503,8056,9316,14139,8414,5210,7418,5466,4611,4310,5933,9164,7453
Uruguay,Australia,8960,8881,13631,16612,18574,8699,11671,10876,6585,5112,9004,7112,7951,6456,7574,18233,6913,78622,72652,7162
Uruguay,Costa Rica,546,1029,1335,1458,1798,1496,877,3900,1272,1382,2314,1909,1239,1344,1591,1761,1619,3276,4169,6687
Uruguay,Slovenia,728,370,178,1583,2082,699,1646,2640,903,1123,1134,1769,2205,2245,2355,1302,601,897,13611,3241
Uruguay,Slovakia,16,894,170,1146,5655,1914,3840,3927,1449,6752,3542,4715,2214,4429,3646,5507,3180,3989,3008,2859
Uruguay,Estonia,62,534,4003,296,87,848,1935,2144,3445,188,370,4601,2243,12603,560,1053,3168,12812,3158,2146
Uruguay,Bulgaria,204,2528,1430,113,3309,143,459,223,1641,1000,929,1602,918,824,1920,1048,1645,2388,2187,1969
Uruguay,Lithuania,15,26,6613,670,6691,12404,3695,122,10071,403,7087,539,9901,7577,3217,1429,1592,8830,16278,1520
Uruguay,Guatemala,42,142,695,3249,3917,967,2142,1883,906,873,1632,420,700,1081,581,1002,1130,2731,2538,1516
Uruguay,Serbia,,,61,4,41,42,393,1001,1074,1248,243,268,278,685,2154,1348,820,776,1207,1486
Uruguay,Latvia,32,27,47,303,733,470,462,520,602,1653,479,608,1031,897,673,475,831,1590,944,853
Uruguay,Croatia,17,26,26,173,73,44,111,39,1225,74,153,28,56,279,28,357,106,223,61,533
Uruguay,Luxembourg,58,147,497,254,748,202,200,458,177,190,188,117,423,0,750,782,2227,1571,1831,452
Uruguay,Cyprus,40,21,54,41,60,37,171,98,64,104,50,85,58,2446,205,138,348,1260,349,346
Uruguay,Ukraine,747,95,562,7380,1528,5073,2152,48,197,169,9401,12,83,134,504,352,805,3082,393,344
Uruguay,El Salvador,122,10,11,134,72,259,107,179,237,81,273,171,129,167,94,273,277,143,329,278
Uruguay,Iceland,141,448,584,446,11202,1966,158,19,707,436,1018,315,250,129,126,106,27,76,461,152
Uruguay,Bosnia and Herzegovina,0,0,0,2,0,0,123,17,134,0,37,0,0,0,126,0,0,0,0,6
Uruguay,Malta,75,720,87,0,0,0,34,0,0,10,32,1,0,0,0,3,1,0,10,3
Uruguay,Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Uruguay,Madagascar,0,9,0,17,14,20,0,0,0,8,4,1,3,44,32,18,31,0,2,1
Uruguay,Cabo Verde,0,0,67,0,0,0,1,14,27,0,0,0,0,0,0,0,0,0,0,0
Uruguay,Curaçao,,,,,,,,,,,,,,0,0,1,0,,,
Uruguay,"Congo, Democratic Republic of the",,,,,,,,,,,,10832,0,10820,348,13,0,2170,0,
Uruguay,Haiti,,,,,,,,,,15240,5,7,109,57,,,,,,
Uruguay,Bermuda,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,
Uruguay,Sudan,,,,,,,,,0,401,5,31,0,0,1,,,,,
Uruguay,Myanmar,,,,,,,48,23,0,0,0,287,138,424,979,1078,1289,690,3016,
Uruguay,Lao People's Democratic Republic,,,,,,,0,0,0,0,9,0,99,559,583,763,350,379,,
