reporter,Importers,Exported value in 2001,Exported value in 2002,Exported value in 2003
Lebanon,Syrian Arab Republic,149174,343898,333255
Lebanon,Switzerland,152316,217587,512229
Lebanon,Türkiye,26024,41922,71710
Lebanon,"Iran, Islamic Republic of",14316,30527,54475
Lebanon,Saudi Arabia,107535,70768,85834
Lebanon,Kuwait,54600,54075,65025
Lebanon,United States of America,89539,66022,96045
Lebanon,Jordan,44380,42967,46814
Lebanon,France,29414,22306,27984
Lebanon,Algeria,17438,26296,25190
Lebanon,Greece,12470,9185,8146
Lebanon,Egypt,23485,23581,28130
Lebanon,Germany,12917,15240,26406
Lebanon,Belgium,30509,33697,33919
Lebanon,Italy,22435,23681,41220
Lebanon,Qatar,9970,9941,13416
Lebanon,United Kingdom,28489,23785,23494
Lebanon,Ghana,3997,,7144
Lebanon,Cyprus,8001,9678,16949
Lebanon,Angola,,,
Lebanon,Spain,18269,21429,23541
Lebanon,Netherlands,12513,12374,9095
Lebanon,India,10330,11515,9053
Lebanon,Brazil,1653,5658,7486
Lebanon,"Korea, Republic of",4602,7555,5506
Lebanon,Sudan (before 2012),2294,1990,8264
Lebanon,China,2591,4200,4682
Lebanon,Armenia,5956,1500,5954
Lebanon,Sweden,3424,4568,5760
Lebanon,Morocco,7090,6643,7157
Lebanon,"Hong Kong, China",7396,7614,6599
Lebanon,Bahrain,16491,19153,12354
Lebanon,Canada,5301,5268,6981
Lebanon,Australia,3129,4619,7506
Lebanon,Poland,1315,682,425
Lebanon,Tunisia,8289,4092,5303
Lebanon,Oman,4382,16679,2319
Lebanon,Japan,4581,4979,4588
Lebanon,Russian Federation,5076,4208,2132
Lebanon,Senegal,1482,3739,2875
Lebanon,Thailand,725,572,2580
Lebanon,Yemen,,,
Lebanon,Côte d'Ivoire,1489,2255,3092
Lebanon,Guinea,951,1272,
Lebanon,Hungary,1119,50,317
Lebanon,Denmark,2842,2481,3830
Lebanon,"Taipei, Chinese",488,435,620
Lebanon,Romania,1095,910,1246
Lebanon,Pakistan,,,730
Lebanon,Gabon,1425,0,758
Lebanon,Kazakhstan,187,3434,32
Lebanon,Malaysia,340,335,681
Lebanon,Ukraine,1422,878,1412
Lebanon,Portugal,2015,668,740
Lebanon,Burkina Faso,525,490,838
Lebanon,Barbados,63,33,64
Lebanon,Ireland,1625,1040,2271
Lebanon,Mali,369,798,658
Lebanon,Benin,312,219,401
Lebanon,Austria,1427,1428,1098
Lebanon,Norway,1511,1833,3589
Lebanon,South Africa,88,47,101
Lebanon,Czech Republic,241,452,228
Lebanon,"Tanzania, United Republic of",159,321,345
Lebanon,Singapore,487,874,584
Lebanon,Indonesia,470,33618,31401
Lebanon,Ethiopia,262,440,454
Lebanon,Bulgaria,291,583,577
Lebanon,Sri Lanka,929,115,304
Lebanon,Estonia,0,2,85
Lebanon,Cameroon,4643,1518,956
Lebanon,Zambia,64,157,246
Lebanon,Mozambique,17,142,104
Lebanon,Zimbabwe,47,285,84
Lebanon,Gambia,238,219,276
Lebanon,"Venezuela, Bolivarian Republic of",389,186,340
Lebanon,Lithuania,20,43,67
Lebanon,Maldives,0,4,21
Lebanon,Bosnia and Herzegovina,,,31
Lebanon,Finland,91,262,166
Lebanon,Niger,46,21,4
Lebanon,Togo,103,120,419
Lebanon,Mexico,207,173,150
Lebanon,Uruguay,724,387,9
Lebanon,Malta,330,271,364
Lebanon,Brunei Darussalam,0,127,8
Lebanon,Luxembourg,408,16,86
Lebanon,Serbia and Montenegro,117,56,
Lebanon,Argentina,148,1,86
Lebanon,Cambodia,0,0,1
Lebanon,Slovakia,4,13,38
Lebanon,Chile,146,129,296
Lebanon,Azerbaijan,46,9,276
Lebanon,Mauritania,15,49,42
Lebanon,Colombia,418,481,272
Lebanon,Georgia,1359,219,369
Lebanon,Slovenia,39,81,611
Lebanon,Mauritius,48,2041,1943
Lebanon,New Zealand,130,232,219
Lebanon,Belarus,122,262,66
Lebanon,Latvia,49,342,1
Lebanon,Cabo Verde,0,0,0
Lebanon,Jamaica,6,123,22
Lebanon,Viet Nam,70,183,53
Lebanon,Ecuador,1,0,21
Lebanon,Iceland,5,13,31
Lebanon,Botswana,0,2,1
Lebanon,Uganda,152,29,71
Lebanon,Fiji,,59,192
Lebanon,Croatia,13,335,394
Lebanon,Albania,48,5063,9631
Lebanon,New Caledonia,30,8,26
Lebanon,Philippines,40,112,56
Lebanon,Suriname,17,,
Lebanon,Madagascar,26,14,20
Lebanon,Trinidad and Tobago,0,3,19
Lebanon,Sao Tome and Principe,0,0,1
Lebanon,Grenada,16,1,36
Lebanon,Honduras,3,28,503
Lebanon,Bangladesh,1843,3,27
Lebanon,"Moldova, Republic of",52,82,255
Lebanon,Dominican Republic,39,139,39
Lebanon,Paraguay,130,147,62
Lebanon,French Polynesia,93,61,228
Lebanon,Saint Lucia,0,0,4
Lebanon,Saint Vincent and the Grenadines,13,0,10
Lebanon,Guatemala,0,5,6
Lebanon,Kyrgyzstan,0,0,4
Lebanon,"Macedonia, North",12,0,1
Lebanon,Faroe Islands,0,2,14
Lebanon,Panama,18,21,0
Lebanon,"Bolivia, Plurinational State of",0,0,0
Lebanon,Costa Rica,8,112,9
Lebanon,Israel,37,1,1
Lebanon,Malawi,3,4,157
Lebanon,Peru,0,6,14
Lebanon,Namibia,0,0,1
Lebanon,Nicaragua,0,0,0
Lebanon,Mongolia,0,,0
Lebanon,"Macao, China",2,0,0
Lebanon,Rwanda,0,0,2
Lebanon,Andorra,0,36,0
Lebanon,Belize,1,4,0
Lebanon,Burundi,17,109,0
Lebanon,Cuba,0,7,2
Lebanon,El Salvador,0,2,27
Lebanon,Greenland,0,0,1
Lebanon,Kenya,68,15,8
Lebanon,Seychelles,3,0,0
Lebanon,Eritrea,,,63
Lebanon,Sierra Leone,,3358,
Lebanon,Central African Republic,391,609,766
Lebanon,Nigeria,8857,31152,8146
Lebanon,Anguilla,0,0,9
