reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
Panama,Niger,0,0,0,0,0,0,0,0,1573,0,15,0,0,3,0,0,0,0,0
Panama,Pakistan,11190,14308,12970,11715,12023,7738,10215,12000,14209,10425,10870,12820,10166,11315,15140,14424,9079,16780,26402
Panama,Panama Metadata,0,0,0,0,0,0,1118781,1311870,1510360,1462485,1529602,1300851,1207666,1205704,1052149,1082539,671051,975527,1058131
Panama,Philippines,18383,17080,12416,16542,8659,7255,7430,69685,10934,40157,55891,53017,6052,6024,11664,11866,6248,6426,7477
Panama,Rwanda,0,145,0,9,0,4,57,0,0,0,0,0,63,10,0,0,0,0,0
Panama,Saint Vincent and the Grenadines,0,0,1,1,0,0,0,100,0,3,3,3,0,0,0,0,0,9,142
Panama,Saudi Arabia Metadata,0,0,99,0,49999,0,179,34819,833,464,90,2617,65,74,1697,199,190,332,816
Panama,Senegal,9,513,254,1032,128,7,0,6,11,1265,31,0,2,322,0,0,68,753,776
Panama,India,54343,67612,74693,67897,93925,107535,101611,206467,252234,221454,270191,240335,213680,233595,213735,244134,154847,334882,313372
Panama,Viet Nam,44694,42860,77850,117956,164538,135306,173758,227433,237248,234516,271986,268849,259532,325012,265019,337494,309230,462193,435004
Panama,Zimbabwe,0,0,0,0,0,0,449,2926,0,0,0,0,2,0,0,0,0,0,0
Panama,Trinidad and Tobago,16162,26041,72922,98910,195285,50788,164183,56535,82008,189361,152717,57075,27048,65080,89410,122632,83168,106415,243251
Panama,Tunisia,1714,368,846,2003,2046,2265,2868,3502,3078,3384,1695,1333,672,473,1265,1210,320,993,1840
Panama,Uganda,1,118,394,320,0,0,1472,740,0,0,0,0,0,0,0,0,0,912,0
Panama,"Macedonia, North",0,0,8,108,256,112,841,193,0,198,10,15,214,14,5,0,32,133,164
Panama,Egypt,127,476,68,678,4181,5439,6695,8948,6248,6114,6770,8656,4434,5966,4752,14518,4374,7298,8271
Panama,"Tanzania, United Republic of",8,26,77,60,167,0,0,30,0,16,23,79021,20,76,79,2,0,0,0
Panama,Burkina Faso,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,Uruguay,9617,17349,6526,8912,17584,5929,4088,4736,9802,11786,9143,6760,10683,8872,9764,14274,32008,15934,20543
Panama,Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,Zambia,0,0,0,0,0,0,0,0,702,0,0,4598,5842,220,4732,779,385,1775,453
Panama,Belarus,1440,5151,497,0,7792,1481,16831,193,239,772,645,2403,832,2227,6912,314,1011,109,
Panama,Cameroon,0,63,2,0,0,0,0,0,0,32,21,0,0,0,49,19,0,60,
Panama,Gabon,0,0,92,0,149,0,0,0,1091,2164,1524,8925,28972,2,0,0,0,0,
Panama,Honduras,6293,5228,14719,19546,22592,16155,14954,21573,24650,28891,40996,39038,35566,33577,30655,26847,22417,27256,
