reporter,Exporters,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Switzerland,Germany,35314750,37433729,44366358,50610801,57770308,49886837,55930655,67278677,63463871,63150724,62606692,54670993,55895711,61364846,64304110,63676565,64763730,72450750,75084619,72745456
Switzerland,United Kingdom,6151575,15230094,9315065,9837281,15386704,7938211,17217429,38653409,16207201,71112261,35132598,34021569,19774333,20287405,25596878,15618473,19605704,39662290,35117482,35404466
Switzerland,Italy,14622085,14496352,15890652,18288081,21282950,18951954,20955703,28734806,29463371,27096305,25329401,21331136,21019072,23295001,26445185,29151024,28826910,32226687,32731435,32977924
Switzerland,United States of America,9273958,10727602,14384542,17030909,21999064,17478819,20711347,24480073,26363312,26493077,22133642,22189716,22821660,21723642,22221553,17975604,18105632,23683408,36972876,27956452
Switzerland,France,12723008,12723399,13142134,14401205,17686093,14028479,15054310,18377824,17636549,17360709,17226818,15347042,16924349,17752543,18926765,19913323,16449613,20234540,21919792,22209889
Switzerland,Slovenia,175478,235889,194776,259667,249643,225495,258680,362498,321594,390599,500601,455959,481447,603119,860761,2549610,4545379,6262880,11602142,16294238
Switzerland,Netherlands,4862763,5075899,6078181,6520949,7297604,6686428,7156074,7159009,7385519,7483849,7400669,6154921,6234347,6599378,7223443,7818781,8745538,10255784,8932504,12637306
Switzerland,Austria,5515285,5776087,6127141,6856433,7269781,6620947,7449752,8933972,8475025,8928279,9442692,8362173,8363316,8346371,8787086,8603527,8952387,10081034,10880466,11232780
Switzerland,Spain,1909337,3200361,3313509,3336270,3692999,3722414,4551730,5822042,5949311,5560130,4755995,4327486,4424379,4682062,4962712,5637140,5846766,6794129,7130091,7172687
Switzerland,Belgium,3337129,3862694,5204623,7562584,6663011,4416171,5278618,7454922,7060346,6543291,6359332,5319047,5915517,6424341,6143082,6350887,5709515,6420684,6983918,6414661
Switzerland,China,1512544,1956173,2520434,3614204,3917989,2664658,3038875,3713552,3507411,3529136,3109863,3196153,3231790,3194306,4111622,4597731,5091730,6304566,7682845,5766545
Switzerland,Japan,2186958,2154274,2417430,3019914,4339573,6286318,7782611,9230010,4376144,3312442,3029099,2701562,3130734,5081511,3773598,4097747,4815857,4408153,4181719,5341237
Switzerland,"Hong Kong, China",1937826,1861995,2612971,3043392,3514607,3920963,3534251,4052852,4044293,3584133,4456963,4248538,9332791,11267906,5814977,6024555,15035889,6202207,4503633,5214657
Switzerland,Poland,513353,680355,827685,991280,1251260,1159637,1340499,1669735,1644510,1711435,1882945,1784508,1931806,2175145,2343589,2281547,2578154,3209613,3638896,4419066
Switzerland,Ireland,3434216,3986979,3158521,4456544,3766379,3415298,4726913,5129477,6518757,6795167,6981518,6764091,6994317,7017477,7650824,6189689,3679560,3327137,3448969,4376615
Switzerland,Thailand,723802,674338,925851,1420275,2018128,3259279,4225177,4911382,5246389,1612488,1991447,2519501,4986489,4227354,2542609,5451194,7593220,1467437,3266166,3980978
Switzerland,Singapore,582251,675802,904018,912032,779801,1032274,1164110,1071139,1581141,1479161,1783997,1716404,3093529,2374648,2415452,2783491,2536619,3429251,3117146,3879776
Switzerland,Czech Republic,832118,989285,1322867,1802609,2112486,1820709,2207349,2759752,2563329,2523862,2731989,2465085,2368230,2565855,2736143,3074123,2987567,3326358,3489913,3754931
Switzerland,Canada,497018,881789,952523,1363088,1224183,1043572,1489872,1151126,849383,1704636,1355773,932189,994064,1598460,1442187,1079214,1347503,2425294,2801223,3543236
Switzerland,Türkiye,450517,557896,906690,941983,2859432,3940363,2065015,1493983,2134517,1124551,3250454,5680809,2680909,891823,1738512,1042346,1095496,1259537,1341480,2324740
Switzerland,Sweden,1341193,1237215,1317085,1527483,1699071,1290546,1400805,1784816,2009839,2006611,1704178,1606287,1655775,1640061,1713997,1796587,1511994,1722441,1704499,1868130
Switzerland,Peru,282253,786299,1687563,2335278,3410276,3954260,3845278,5937613,5074453,3024891,2662119,2694471,2551476,2349379,2034295,2260806,1373906,1934651,1988030,1656315
Switzerland,Australia,154955,160931,287705,1393998,377408,392817,268941,677360,686731,805150,489925,599921,801003,1105648,879454,1321054,1766127,1460181,1712175,1585112
Switzerland,Finland,608661,587292,772084,851292,840613,736097,804109,965453,657908,574199,556190,638372,671268,651836,675545,659332,497043,1428002,1540778,1557773
Switzerland,Slovakia,232401,253257,317833,483282,509445,562707,651594,797736,1082466,1388638,1429853,1232762,1231475,1359839,1433788,1333419,1309133,1512314,1440960,1508546
Switzerland,Brazil,348241,535496,844884,1126101,1326781,1107556,1374382,1645914,1706155,1540621,1190069,1944982,1656951,792484,817153,1259784,1364592,2033052,1197576,1384415
Switzerland,Hungary,623382,715886,717513,1058550,1363649,939470,933140,1004920,981543,1076370,1064413,938208,961717,966785,1103585,1220086,1287294,1427179,1468691,1316889
Switzerland,Argentina,20737,97151,518547,535000,757984,946327,1017039,567021,656762,561182,544940,1258601,1141079,1262724,1291386,1689724,1020723,954544,1088853,1192802
Switzerland,"Korea, Republic of",516432,579638,844070,488016,402647,343843,373215,1134490,406458,876742,319953,1492121,566417,499648,506725,602025,726717,869903,986977,1136840
Switzerland,Denmark,774406,698536,729712,813140,911018,809471,842204,989394,889567,907047,1036107,792047,798494,811149,816038,823371,943834,1096936,1037483,1107130
Switzerland,Portugal,341195,312258,340755,358348,433229,400520,435892,519034,515921,556708,570800,508947,591686,653315,735948,697152,750613,752563,773896,839055
Switzerland,Chile,201533,67208,207077,191357,258964,436878,510033,775499,1093498,1066456,867607,555489,585870,891970,1144376,1050086,860693,961094,979975,827680
Switzerland,Malaysia,175096,196928,424581,391107,625353,581800,266614,329538,335831,263061,283712,398238,677692,1216021,775665,517654,641740,472496,615014,796178
Switzerland,Romania,141868,186655,199196,305768,441873,352656,347324,417620,356317,358113,398819,343548,393711,451573,532392,599285,677160,666844,710874,780554
Switzerland,"Taipei, Chinese",321466,285330,336470,342603,388503,297865,391663,454350,438237,482715,458843,459399,455842,536542,602169,604032,545646,768043,906023,729019
Switzerland,South Africa,1126750,1250092,1706985,1370502,1556438,2273316,2268051,2771407,1664464,2127620,1494070,1389607,893161,867489,969601,829283,847302,830380,509154,510706
Switzerland,Norway,247634,281829,336293,907405,1052429,718067,803385,940265,764939,528710,537804,417359,505002,390270,364566,337644,365876,422850,457038,421080
Switzerland,Bulgaria,66913,86105,132740,112210,121732,124490,136683,180345,206676,210906,162661,144440,151027,187101,187242,216544,206709,277573,330926,391953
Switzerland,Croatia,76451,84432,126924,138530,139107,155408,109141,124723,104265,147224,164344,148275,147529,178735,214680,227482,256314,311798,317725,346222
Switzerland,Ecuador,6870,21175,26863,31896,36759,45527,61790,72683,88008,97910,70867,36496,20715,13141,13576,18479,150390,264179,316273,342293
Switzerland,Luxembourg,159215,189550,174834,194125,237968,158925,203129,409223,153769,169554,426235,170912,258576,29,207355,188046,168252,217069,243471,299209
Switzerland,Serbia,,,43729,61813,94353,83928,61484,82784,91919,103705,99217,89820,110969,128743,161678,166139,183830,223696,236513,269919
Switzerland,Greece,119955,138841,137277,172260,389138,402698,226758,206331,169501,153786,148455,145816,148972,161851,170694,172456,176460,218969,253036,257504
Switzerland,Lithuania,424057,70629,98265,47557,224406,73660,60749,53367,61573,83452,122462,106709,116648,160574,179508,172065,162471,231271,321086,247632
Switzerland,Estonia,34668,61280,37549,44742,40211,35188,45518,55440,48998,65621,65503,60890,74479,110323,129059,123527,121009,227671,272683,172561
Switzerland,Ukraine,470067,395942,112191,96643,831571,453152,472408,69420,148811,223205,188565,125508,106026,182384,108750,127699,142694,177616,129323,156432
Switzerland,Bosnia and Herzegovina,62557,31999,64571,81658,131023,74518,105388,106587,51658,79016,98897,79647,91202,101036,119309,137141,155584,203468,137647,140193
Switzerland,Colombia,152285,140127,560646,884910,945500,1038236,854335,953691,721370,460819,501550,419871,376208,354329,330393,172232,135614,169407,124912,123162
Switzerland,Latvia,61371,83988,71906,54567,65183,34378,43670,52019,46792,44036,45482,41886,48607,41822,74969,50931,65298,66966,82011,75276
Switzerland,Iceland,45719,38772,83633,60351,49321,53620,83828,35022,85099,53709,81274,54633,59007,30755,39314,17435,15562,22398,30691,52644
Switzerland,New Zealand,56175,65126,61322,71383,63732,55772,63113,87215,61255,71370,71722,82295,60023,66126,94440,104157,78070,85882,57717,38130
Switzerland,Malta,5206,10386,9662,10964,13616,14916,22977,36778,31835,29703,28079,29104,30509,30182,20356,25341,16936,35106,25654,32682
Switzerland,Paraguay,65963,14325,33764,9284,3460,4964,9399,17296,10506,37434,5998,9390,12973,56150,20740,28916,13863,16196,19281,22538
Switzerland,Guatemala,30174,80595,64156,33146,35095,13662,14118,8783,4914,4615,2664,2464,4796,2974,3591,2862,5234,19205,17440,18604
Switzerland,Madagascar,1152,6311,11441,4157,3892,6446,1957,3252,4071,7569,9765,7323,12543,11584,24596,15722,17291,32059,33421,17628
Switzerland,Cyprus,4545,3776,11114,7987,9434,5204,4458,11669,16437,21039,22706,27030,41145,45471,21358,15586,15688,15903,12831,12539
Switzerland,Costa Rica,4231,27652,3122,6958,35978,37385,7749,3427,4804,1571,4652,6447,5486,4157,3861,6562,5066,6027,6531,9240
Switzerland,"Bolivia, Plurinational State of",52453,107444,210555,159952,162092,167445,167363,306111,272681,165793,96335,38582,5315,14294,5865,17779,9862,6254,1494,1278
Switzerland,Belize,2,0,5,36,1,762,815,666,759,316,454,842,1318,3078,1843,1259,735,758,538,1115
Switzerland,El Salvador,272,2483,663,350,576,325,486,461,317,230,755,362,464,564,309,252,179,626,338,569
Switzerland,Cabo Verde,0,2,0,0,0,0,0,135,1,0,0,0,0,0,0,0,0,0,0,0
Switzerland,Liberia,,,,,,,,,,,,,,340,0,59808,109579,0,23,
Switzerland,Uzbekistan,,,,,,,,,,,,,,3563,3221,21401,5795,17373,12370,
Switzerland,Curaçao,,,,,,,,,,,,,,121,88,0,0,,,
Switzerland,"Congo, Democratic Republic of the",,,,,,,,,,,,431483,200596,414335,443780,121699,817790,439860,759269,
Switzerland,Tajikistan,,,,,,,,,,,82319,166972,99309,1490,1640,225127,595115,534977,574556,
