Exporters,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Niger,0,0,48,0,0,6,0,10,2,0,10,6,7,0,418,965,690,475,47,
Pakistan,3168,3311,4644,1663,1060,1867,1520,6553,3093,1239,1048,654,1054,1064,2513,2190,1345,742,1174,
Panama,0,0,0,0,0,0,0,0,0,0,0,0,422,0,0,66,0,0,0,
Philippines,834,197,15323,343,324,518,832,853,1496,1550,3608,2471,3185,2120,2555,3597,1748,2383,3004,
Rwanda,61,229,402,149,522,43,221,518,2225,4312,3870,5098,5795,5307,2926,9751,2793,23503,26080,
Saint Vincent and the Grenadines,0,0,0,0,0,0,0,0,0,0,352,0,0,0,0,0,37,0,0,
Saudi Arabia,11753,16425,19297,25837,17294,18319,42247,63924,63446,90491,115861,70390,72122,74711,73330,73736,62523,75239,53495,
Senegal,70,72,76,265,100,59,34,17,53,18,173,43,3,487,86,1698,29,96,92,
India,55382,66334,109520,163427,216571,283258,261601,425228,643454,953821,762770,762385,830526,711896,715038,822418,666704,723452,611328,
Viet Nam,1842,6498,25863,11069,6166,7090,34212,11266,22466,25121,10961,9433,0,0,0,0,0,0,0,
Zimbabwe,1487,1697,561,3381,6,198,869,130,42,54,26,153,43,164,433,18,3,40,154,
Trinidad and Tobago,0,0,0,1,16,0,0,0,1,647,120,0,21,0,0,0,0,0,0,
Tunisia,131,2872,18112,49452,59460,67528,87994,121052,86184,75343,69665,56704,49979,54223,42756,33464,28067,22071,20195,
Uganda,588,222,156,527,252,2435,2177,6174,12175,4115,1220,1723,360,9240,10764,14908,15162,24905,18522,
"Macedonia, North",0,0,0,0,0,0,0,25,0,0,0,0,0,0,206,0,0,0,15,
Egypt,6607,19808,10917,10597,65223,42105,46215,49573,41229,73833,88238,112363,101386,120294,169793,140281,87747,100363,99477,
"Tanzania, United Republic of",1886,1795,799,902,1924,606,1641,1129,3122,2048,5396,148,379,3503,3407,5566,2446,428,1400,
Burkina Faso,0,19,0,0,0,0,2,16,1,67,2348,2603,1583,2311,6530,4246,2832,3353,7214,
Uruguay,0,0,51,45,226,128,210,354,124,301,116,205,57,90,214,0,0,564,683,
Zambia,25,73,184,30,4,10,45,46,15,46,3791,401,346,2069,67,97,75,94,75,
Belarus,1588,6789,7966,1587,1789,11585,1824,3788,2007,1872,3061,11662,3150,1435,2768,633,1998,650,,
Cameroon,6,2,13,190,0,34,0,9,100,129,643,338,11,2,18,18,0,41,,
Gabon,0,0,0,1,0,8,2,427,621,2,3353,4281,2319,618,513,1374,671,840,,
Honduras,0,0,0,0,5,0,0,0,0,0,0,19,0,0,1,0,4,30,,
Russian Federation,93860,22056,10809,22783,105132,120739,56915,96613,129464,46191,40586,17696,194488,61428,85586,41669,26562,194694,,
Eswatini,0,0,0,0,2324,7406,6222,5994,3,11886,13014,20,0,0,0,1,0,10,,
Ghana,16,36,16,38,27,273,5,252,497,1982,169,1419,567,188,97,1597,,,,
Algeria,11,0,0,30,0,238,12,0,0,0,6,0,0,15192,,,,,,
Guinea,9,58,2,0,0,0,0,3,1383,0,1,0,0,,,,,,,
Yemen,4688,7104,12134,12464,11640,9733,9176,10887,9119,9435,10874,2340,,,,,,,,
"Venezuela, Bolivarian Republic of",28,13,0,16,0,0,0,0,0,0,,,,,,,,,,
Sudan (before 2012),221,2557,34,4755,109,61561,150678,282278,,,,,,,,,,,,
Syrian Arab Republic,1247,408,578,614,813,536,269,,,,,,,,,,,,,
Faroe Islands,21,0,0,0,0,0,,,,,,,,,,,,,,
