reporter,Exporters,Imported value in 2001,Imported value in 2002,Imported value in 2003
Rwanda,Kenya,16445,39970,79861
Rwanda,Germany,5780,17385,24263
Rwanda,Belgium,20528,23056,21969
Rwanda,Uganda,16617,12873,20803
Rwanda,France,7739,9942,16105
Rwanda,South Africa,9225,7934,11357
Rwanda,United States of America,17263,10185,7919
Rwanda,Netherlands,6557,5439,6678
Rwanda,United Kingdom,7240,5092,5227
Rwanda,"Tanzania, United Republic of",2274,3913,2575
Rwanda,India,4112,6193,4570
Rwanda,China,2891,3862,3533
Rwanda,Burundi,2521,3231,2186
Rwanda,Italy,3547,2945,2956
Rwanda,Japan,5997,5457,7369
Rwanda,Denmark,2049,3551,2914
Rwanda,Israel,11464,4183,2772
Rwanda,Mauritius,993,892,956
Rwanda,Canada,1031,1087,1098
Rwanda,Spain,743,1496,918
Rwanda,Türkiye,527,337,318
Rwanda,Oman,134,185,680
Rwanda,Ukraine,46,159,91
Rwanda,Malawi,0,0,5
Rwanda,Pakistan,,,711
Rwanda,Zambia,4004,1149,1
Rwanda,Sudan (before 2012),0,0,0
Rwanda,Egypt,61,156,608
Rwanda,Ireland,506,385,427
Rwanda,Belarus,26,0,0
Rwanda,Switzerland,363,487,1762
Rwanda,"Korea, Republic of",774,363,374
Rwanda,Viet Nam,89,221,0
Rwanda,Sweden,554,1113,924
Rwanda,Russian Federation,438,7058,1854
Rwanda,Thailand,501,624,409
Rwanda,Zimbabwe,0,104,81
Rwanda,"Hong Kong, China",331,462,658
Rwanda,Luxembourg,533,323,528
Rwanda,Indonesia,236,645,322
Rwanda,Serbia and Montenegro,0,0,
Rwanda,Finland,454,163,391
Rwanda,Saudi Arabia,37,85,0
Rwanda,Australia,699,164,75
Rwanda,Greece,50,18,279
Rwanda,Austria,423,427,56
Rwanda,Malaysia,49,171,30
Rwanda,Argentina,67,0,0
Rwanda,Czech Republic,0,36,14
Rwanda,Côte d'Ivoire,41,169,0
Rwanda,Portugal,212,262,116
Rwanda,Morocco,3,91,122
Rwanda,Poland,0,0,0
Rwanda,Slovenia,0,219,0
Rwanda,Norway,41,76,138
Rwanda,Gabon,0,15,0
Rwanda,Croatia,24,0,0
Rwanda,Brazil,175,78,546
Rwanda,"Taipei, Chinese",163,387,102
Rwanda,Bangladesh,0,0,0
Rwanda,New Zealand,39,5,2
Rwanda,Botswana,0,0,0
Rwanda,Sri Lanka,52,2,22
Rwanda,Slovakia,0,4,1
Rwanda,Ecuador,1,0,0
Rwanda,Madagascar,6,6,0
Rwanda,Jordan,0,0,32
Rwanda,"Iran, Islamic Republic of",36,0,197
Rwanda,Burkina Faso,2,0,0
Rwanda,Timor-Leste,,,
Rwanda,Guyana,0,0,0
Rwanda,Ghana,1,,1
Rwanda,Romania,12,27,460
Rwanda,Colombia,0,21,11
Rwanda,Hungary,10,38,111
Rwanda,Mali,3,9,30
Rwanda,Benin,0,0,0
Rwanda,Lebanon,0,0,0
Rwanda,Philippines,5,20,0
Rwanda,Senegal,8,0,0
Rwanda,Grenada,0,0,0
Rwanda,Cameroon,63,54,444
Rwanda,Guinea,0,0,
Rwanda,Andorra,3,0,0
Rwanda,Azerbaijan,0,2,0
Rwanda,Barbados,7,0,0
Rwanda,Bulgaria,8,18,25
Rwanda,Cyprus,0,2,0
Rwanda,Ethiopia,0,0,0
Rwanda,Estonia,49,0,0
Rwanda,Kazakhstan,88,0,0
Rwanda,Kuwait,0,5,0
Rwanda,Lithuania,371,45,0
Rwanda,Mexico,0,1,0
Rwanda,"Moldova, Republic of",1,26,0
Rwanda,Mozambique,0,0,3
Rwanda,Namibia,1,3,322
Rwanda,Singapore,226,387,0
Rwanda,Trinidad and Tobago,3,0,0
Rwanda,Tunisia,13,10,24
