report,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
United Kingdom,Germany,75893395,75159998,81235846,97258871,94502660,74114907,77278975,89401172,90727204,94442690,104888480,98368704,94905257,95961991,96942954,88475888,76667768,76863363,77564200,84666986
United Kingdom,China,14966962,18976474,24163209,31666365,36072739,31277364,38767054,44122055,46296693,50942128,57141135,59667967,56261404,57039880,56987896,62425024,72561344,87029777,81544682,78242009
United Kingdom,United States of America,35900252,38560828,45391799,50294385,53771992,45707871,48328089,56009021,54853629,47339021,53808147,56094706,55197491,56262428,66454485,69066568,58429779,61425144,77300938,74089917
United Kingdom,Netherlands,32052954,32219564,35714631,43508163,49490835,36107419,39323542,44969452,44548079,48518681,48817621,40459469,42895466,44297078,47393444,44606957,39909634,45084222,45574642,52144253
United Kingdom,France,38671329,38237981,40715473,45226332,46710234,33747315,34343828,38841447,37689540,39093103,40916518,35388844,35043633,35440764,38867685,38632362,31027921,33815041,35590626,39168809
United Kingdom,Norway,18582552,25997767,32663738,35585396,45775448,26987924,35867936,45141292,42622024,37366117,32894514,22964233,18523278,21543567,26505327,20624312,14367043,33321743,58004074,33894893
United Kingdom,Belgium,26665107,27422809,28942515,32809715,34031954,27005462,28865415,33528602,32545299,37863268,41194462,35211407,35472783,36144447,37450521,34322806,32377982,31425194,33293466,30792449
United Kingdom,Italy,24918697,24394586,25326579,29111005,28424578,20856553,23069823,24172152,24367367,26016913,27799021,24783064,24802558,26195222,28124184,28248709,25777808,27694255,28711943,27520905
United Kingdom,Spain,16335464,16201490,17054732,19584488,19743920,14081720,15297107,19359536,18309887,21382180,22095900,20200824,22219737,21146611,21961683,22016846,18748465,21704474,22111481,24395249
United Kingdom,Ireland,17085395,17233276,17473091,20918973,21380694,17355175,16821123,18043007,17652160,18954378,18256928,17257528,16697795,18427900,19041187,17853895,16807291,21521971,23325257,24235563
United Kingdom,Poland,3986450,4995603,6254012,8238019,9900623,8771563,9956000,12169159,12159680,13313873,13663254,13240924,12979530,14071242,16198245,15236622,14567926,16137559,16490587,19084220
United Kingdom,Switzerland,6476160,8246321,7988680,10234787,15140717,17571702,11567681,11225868,30157450,13270047,13800719,13609238,32456694,16996024,10649165,28340579,16814188,14046987,13319897,14800032
United Kingdom,Türkiye,5544303,5917163,6814301,8626776,8158669,5937997,7235861,8151430,8693599,9126733,10216479,10556863,11690650,9603189,11107336,11281350,11236969,13705148,13010911,12468161
United Kingdom,Japan,14976454,15073381,15211178,16314872,16463762,11814502,14173715,16382201,13337751,11105603,11183006,10818297,13745263,13810714,14033044,13973455,10850294,10493806,11224988,12157346
United Kingdom,Canada,5953335,6823033,8937980,11929630,12268164,10588184,15899871,18976766,18776318,13556428,13764189,12501949,12910230,13700288,12820778,14923882,14868072,13162632,14225403,10493123
United Kingdom,Sweden,9622014,9681489,10682527,12099534,13485937,9734452,11474653,12786448,12960115,10697863,11518436,9853683,8167953,9270502,9188564,8424228,7832809,10460668,10709820,10472906
United Kingdom,Czech Republic,3097419,3633631,4548918,6081748,7020774,5574189,6443275,7357286,7503843,7834644,8871428,8371820,8519963,9026391,9398883,8990745,7776496,8713227,8621292,9617244
United Kingdom,"Hong Kong, China",9612327,9680887,11825705,10528089,10732009,12670760,9751122,7542949,7354356,7104740,7232363,7114433,11189250,9326270,6401858,8350689,18197662,10052662,6264812,7954632
United Kingdom,"Korea, Republic of",5515983,5338844,5634713,6870005,5936115,3796533,5555074,5479934,4925801,4814535,6062358,7854429,6922391,8629305,6359378,5539148,4492995,5961283,6364526,6049230
United Kingdom,Austria,4657926,4779659,4860096,5537836,5430390,4132639,4396506,4944923,4245449,4596659,4955464,4431219,4304618,4180542,4848419,4944640,4550701,5243443,5365159,5887811
United Kingdom,Denmark,5972891,6203055,7021232,7639729,9187183,7531851,7604818,10468702,9976951,8787457,7973940,5480605,5623812,7531769,6822718,6107015,4976858,6262621,5149845,5621539
United Kingdom,South Africa,4215465,5000163,4627716,4907275,4905860,3002064,3662360,3936486,3344329,3300922,3472594,3374491,3181681,3494174,4869005,4721032,4230960,8182961,6323841,5298027
United Kingdom,Slovakia,811343,975773,1626991,2813587,3337322,2549523,2419799,2777297,3031074,3666008,4205476,3924955,4129946,3913752,4176483,4378605,3784093,4130319,4155796,5075632
United Kingdom,Hungary,3097250,3161244,3324415,4277574,5055838,4390645,5162439,5072538,4271672,4195338,4056711,3909512,4004620,3946513,4557709,4025511,3714618,4423533,4764127,4818098
United Kingdom,Thailand,3025259,2788326,3424764,3555882,3974064,3237032,3658490,3887376,3801843,3787116,4007084,3762952,3824752,4076219,4026934,3840743,3046941,3429315,4016476,4034863
United Kingdom,Portugal,3481865,3162605,3045264,3138237,3105946,2475806,2686877,3107535,3068459,3468243,3910856,3721822,3915429,4119688,4711799,4062654,3497593,3910486,4044400,3939995
United Kingdom,Singapore,6301341,6318404,7268342,8208113,6597246,4944853,6123775,6943239,6540278,3846433,3970994,3313801,3140884,3052633,4751562,4670302,4453609,3707714,3715459,3788859
United Kingdom,Australia,3713921,3788421,6114960,5883783,7844216,7076845,7638634,7784569,6617517,3560539,3300601,2760701,7461559,4517784,3548011,10469524,10168716,3459784,2118689,3788673
United Kingdom,"Taipei, Chinese",3384670,3198009,3506536,3605612,3607379,2968122,3616095,4618539,5058181,4307058,4190251,3774243,3642804,3759401,3862028,3579964,3357363,4159127,4042939,3623823
United Kingdom,Brazil,2112532,2598580,2827351,3299753,3782427,3725192,4631981,5229523,4518090,4100491,3859906,2916068,2868745,2844277,3008528,2976491,2544244,3086763,3696672,3338911
United Kingdom,Romania,1561085,1512096,1535615,1670030,1629805,1344959,1788445,2015102,2085800,2698459,2860453,2641621,2754668,2890370,3400590,2889193,2377592,2552858,2784542,2954521
United Kingdom,Finland,4270670,4332729,4820989,5248753,5310146,3289227,3115689,3796321,3419780,3660128,3803891,2895074,2584942,2911937,3211435,2877362,2462883,2978469,3056678,2793808
United Kingdom,Greece,1157582,1169803,1247450,1277831,1404798,996360,1339369,1373751,1096408,1288495,1283910,1200587,1177634,1245506,1411772,1370965,1326798,1549004,2260912,2092180
United Kingdom,Malaysia,2777404,2495706,2922933,2878988,2833826,2012171,2237842,2338277,2203601,2171733,2421048,2400031,2111210,2248948,2141096,2194137,2358523,2361247,2114980,1925046
