reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
Nigeria,Spain,2560047,3919353,4757578,5026595,6933841,3895548,5633408,8444875,9124888,7541540,8617701,5192214,3484141,4950013,6653486,6335652,4440910,6692708,9433023
Nigeria,Netherlands,187960,953915,1174756,1197147,1557023,1767088,2764044,4136999,5695081,4985941,5279399,3724635,1373191,2185851,2794897,3628862,2425257,2892845,4818611
Nigeria,United States of America,17114199,25161410,28959184,33740486,39217292,19737386,31357508,34465732,19405879,11984702,3935445,2003790,4372278,7318430,5766173,4760328,1555194,3538841,4881249
Nigeria,France,1135483,1467491,2493083,1814462,4807701,2625884,3376437,6047034,4783724,5040721,5469107,3267919,2365786,2801695,4426519,4407860,2056961,3449265,5033604
Nigeria,United Kingdom,191221,276062,355445,647663,1644949,977655,1234985,3652239,5975151,4962194,4032722,2173267,1150371,1665852,3090126,1764122,1261888,1303058,2554522
Nigeria,China,463216,526879,277747,537080,508381,896526,1071622,1583680,1273793,1546603,2656039,1237368,908837,1623769,1858994,2656375,2485363,3034655,1599363
Nigeria,South Africa,807528,653859,1366675,1771839,1892426,1838965,2196348,3121377,3721055,3612512,5131154,2984402,2076063,1716595,3840312,3508926,2153703,2243020,2264626
Nigeria,Canada,72538,145929,649089,271056,870309,402858,1620816,2517969,2007852,1148981,396797,816022,1188906,800869,370987,220812,490750,1647822,1316738
Nigeria,Italy,589615,753583,1018467,1198126,1607658,1086663,717186,2192315,2170032,2638519,1305311,878561,668252,882814,1435346,1716253,1071877,1882011,1730023
Nigeria,Germany,373891,888110,1762463,1245735,2676105,1640284,2667095,4841404,5701572,5492982,5305344,2183744,1515842,1809568,2803696,2513524,1809828,1428526,2514718
Nigeria,Portugal,848780,1204903,967520,1381849,2552502,1737132,1824580,2128710,1190796,992772,719356,115577,10371,79941,238721,1069262,1229579,1681705,2043274
Nigeria,"Korea, Republic of",551188,365528,625688,442762,109428,229556,572000,799214,1465607,2317715,3099372,1126155,528472,500757,1047331,726486,749906,974119,1791007
Nigeria,Sweden,29728,59641,2916,285,215816,125340,82248,28391,1063605,1580256,1631274,773717,600358,1212602,2127842,1051407,494184,431435,1490523
Nigeria,Poland,3021,3804,1918,2426,5375,6717,11099,22949,18074,23049,21848,18090,44762,28488,297403,658604,573030,927031,548778
Nigeria,Brazil,3567388,2697941,4033475,5331607,6875822,4857935,6022999,8479690,8119656,9773850,9640556,4633120,1305142,829011,1631530,917665,426515,1014267,2104979
Nigeria,Switzerland,470063,487085,851795,283832,137267,220422,247556,224295,549143,858410,855619,480706,333222,534614,635837,442977,383960,480358,923002
Nigeria,Thailand,48897,70712,33460,35463,22775,51334,68532,343506,519986,552609,1070899,156045,48799,498839,900650,388040,1075346,1098072,1214378
Nigeria,Japan,1421220,973750,809965,661460,1770598,535504,541346,1657069,4775150,3541882,4469134,2817862,866605,787540,917900,509451,687033,761124,1279277
Nigeria,Peru,37357,115105,271499,292520,73324,435781,649783,342697,922722,1082518,526417,53505,47981,51185,79800,197142,178837,273090,334416
Nigeria,Malaysia,3036,13100,21030,27164,39633,33845,104619,89426,96184,302792,277474,89245,107538,193848,283704,214284,205073,365010,309894
Nigeria,Greece,16156,25166,18814,60329,105666,7185,8520,37147,44794,14890,15365,14406,13756,17212,9717,108409,30233,65715,366537
Nigeria,Belgium,62000,93380,124272,111889,158756,169794,153765,127155,90882,97093,310494,116116,101271,185946,234998,209279,349463,473340,551336
