reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
Panama,"Taipei, Chinese",22694,24432,36407,53765,68122,23480,45024,44074,35474,40325,37101,29496,27488,33541,40971,35886,26691,49829,77385
Panama,Switzerland,28714,63495,64795,82590,159001,219752,107783,44755,125660,153984,143496,105726,101450,142649,192026,100146,48727,43940,52722
Panama,Italy,62990,61660,123774,115346,220014,76741,46525,49694,41471,32430,36840,30090,20558,18965,72693,44902,33797,44564,106969
Panama,El Salvador,146306,37685,73345,27590,39466,36972,102045,107640,179369,34716,38416,119451,188921,304083,382840,442001,407169,552300,58964
Panama,Norway,28707,26158,7547,47506,16027,12361,18827,75003,6999,50020,46240,23497,22953,59625,12844,40205,25582,45800,17039
Panama,South Africa,5247,63396,10376,1459,1169,847,244,477,1432,937,99199,2543,1016,3934,12137,1616,1350,1288,4193
Panama,United Kingdom,21500,32561,31392,26226,17621,21817,28182,24155,27613,47699,29287,27838,34939,32415,21824,30014,32019,49287,49353
Panama,Peru,19376,9567,23218,83760,292424,126917,292482,344766,54824,121273,15181,98789,94725,44062,20922,26059,34450,56067,35058
Panama,"Hong Kong, China",15445,18083,21902,29021,24421,26610,24802,25035,30817,29210,28291,38831,39063,26334,26307,28387,22389,21598,27893
Panama,"Bolivia, Plurinational State of",6412,5703,6680,3559,6273,4996,3796,5977,4856,4003,5991,4349,3455,3886,5192,21708,28849,47800,5247
Panama,Colombia,28660,62526,92143,139090,156258,160366,180078,122885,74562,59188,55684,93149,31367,51397,50105,62491,22679,40576,63523
Panama,Chile,22989,10929,14064,13209,14546,24064,21244,25824,38489,25676,27249,28101,30326,22962,28409,33045,22226,68237,52789
Panama,Canada,36105,36878,31285,26791,20000,35794,81790,125433,122085,71503,10112,8611,5932,8130,5720,7222,11456,15393,152623
Panama,France,14463,7805,25581,43860,72723,11963,9217,31900,16718,22767,18997,20368,15667,14921,22359,15781,13620,24958,17913
Panama,Türkiye,30684,9896,10050,22889,21042,12028,20670,38908,38519,51075,23936,18958,12177,28812,41575,12273,40217,18348,34177
Panama,Belize,48442,51321,63503,66734,74456,40020,35924,38805,34645,25774,32608,40155,31811,29887,29757,28496,9057,13416,16432
Panama,Belgium,77894,97927,61438,102993,19848,12532,57407,26856,70910,81494,96539,55818,8528,29580,20030,43087,21404,31374,25316
Panama,Brazil,24335,14390,13610,17703,26783,11031,16036,21354,16431,11948,9767,8754,8491,10003,13944,13346,124277,120094,14081
Panama,Sweden,29408,10022,24507,25944,35551,39896,45749,36488,37985,19446,24059,27207,4376,618,13020,13724,9256,11898,12916
Panama,Finland,7420,7976,11747,14447,24371,34751,33338,55,27598,18593,24733,13307,1198,324,18208,35080,26747,28578,15697
Panama,Malaysia,555,34730,18201,2829,8199,5332,12772,41459,85554,168866,135068,36732,12526,2453,49432,2419,1000,2580,2623
Panama,Greece,36831,76688,25003,63561,139649,448509,392597,21444,132179,137887,56827,47373,4233,11487,23974,8526,12925,7259,4683
