reporter,Importers,Exported value in 2001,Exported value in 2002,Exported value in 2003
Turkiye,Germany,5823264,6517988,8143841
Turkiye,United Kingdom,2771655,3813788,4722405
Turkiye,United States of America,3054743,3761182,4062445
Turkiye,Italy,2709558,2772864,3767207
Turkiye,France,2218549,2550793,3176187
Turkiye,Spain,1032416,1334003,2059147
Turkiye,Belgium,892838,954392,1377212
Turkiye,Netherlands,957342,1097542,1472655
Turkiye,Romania,376638,560760,923649
Turkiye,Syrian Arab Republic,858913,833081,1202777
Turkiye,Russian Federation,521012,728857,927988
Turkiye,Greece,493072,596894,881611
Turkiye,Israel,683144,813656,951307
Turkiye,Poland,385495,613234,855050
Turkiye,Austria,467294,579403,791456
Turkiye,Bulgaria,273726,393848,666560
Turkiye,"Iran, Islamic Republic of",264365,334284,464610
Turkiye,Sweden,0,0,509399
Turkiye,Denmark,277305,385371,505481
Turkiye,China,230938,288786,532672
Turkiye,Algeria,380715,392404,438195
Turkiye,Saudi Arabia,318764,355141,564271
Turkiye,Switzerland,273697,341780,393493
Turkiye,Canada,203654,255223,333701
Turkiye,Portugal,247476,242412,320103
Turkiye,Czech Republic,171714,254500,327051
Turkiye,Ireland,129921,213941,296491
Turkiye,Morocco,112317,150234,210088
Turkiye,Ukraine,138098,195305,312299
Turkiye,Norway,115571,176881,257557
Turkiye,Hungary,181006,244470,376758
Turkiye,Kazakhstan,136889,173620,208976
Turkiye,Finland,95594,135228,245735
Turkiye,Kuwait,136229,185233,223748
Turkiye,Tunisia,143536,147700,198934
Turkiye,Japan,153706,168294,210671
Turkiye,"Taipei, Chinese",85183,253244,151587
Turkiye,Australia,97227,119417,163550
Turkiye,Lebanon,237199,258651,234136
Turkiye,Egypt,243565,222737,170958
Turkiye,Azerbaijan,148167,156219,195132
Turkiye,Serbia and Montenegro,82964,126419,
Turkiye,Georgia,106905,89216,111617
Turkiye,South Africa,60040,76698,130346
Turkiye,Jordan,121890,123328,139188
Turkiye,Slovenia,85716,93265,146178
Turkiye,Mexico,82415,121820,97470
Turkiye,Albania,80709,91437,122326
Turkiye,Slovakia,65809,79410,111084
Turkiye,Croatia,41527,67987,124156
Turkiye,"Hong Kong, China",162085,131554,132524
Turkiye,Singapore,110890,115328,116294
Turkiye,India,65174,65310,66440
Turkiye,Bosnia and Herzegovina,,,80031
Turkiye,Sudan (before 2012),35197,39753,74088
Turkiye,Thailand,44381,55483,94122
Turkiye,"Korea, Republic of",130332,125342,78124
Turkiye,Yemen,,,
Turkiye,"Macedonia, North",46613,59259,78824
Turkiye,Lithuania,41179,61349,82988
Turkiye,Ethiopia,24294,35460,61987
Turkiye,Brazil,95060,68874,61686
Turkiye,Pakistan,,,65579
Turkiye,"Moldova, Republic of",19684,32745,48249
Turkiye,Estonia,20558,29694,38385
Turkiye,Indonesia,28451,22716,48596
Turkiye,Malaysia,42978,59138,43326
Turkiye,New Zealand,16398,21736,28052
Turkiye,Malta,27679,41128,46272
Turkiye,Latvia,17601,24065,35155
Turkiye,Bahrain,13605,22529,31488
Turkiye,Belarus,23154,24945,25622
Turkiye,Bangladesh,17506,27139,50167
Turkiye,Armenia,29004,34108,33338
Turkiye,Kyrgyzstan,15773,17006,25989
Turkiye,Qatar,18685,24917,29277
Turkiye,Viet Nam,8005,15589,24775
Turkiye,Chile,20478,22952,18919
Turkiye,Argentina,31151,7683,10642
Turkiye,Oman,31580,28705,602
Turkiye,Philippines,11300,11687,24979
Turkiye,Iceland,7237,8932,21897
Turkiye,Ghana,12093,,27425
Turkiye,Ecuador,10975,7490,4188
Turkiye,Cameroon,9733,14373,20594
Turkiye,Jamaica,19407,13626,18914
Turkiye,Angola,,,
Turkiye,Sri Lanka,6028,14215,27349
Turkiye,Senegal,12737,15596,16891
Turkiye,Côte d'Ivoire,8862,10732,16486
Turkiye,Luxembourg,8792,10888,9889
Turkiye,Colombia,11854,10750,11933
Turkiye,"Venezuela, Bolivarian Republic of",14002,9472,17344
Turkiye,Cyprus,662,829,1307
Turkiye,Panama,6422,2874,1648
Turkiye,Madagascar,3343,1306,6508
Turkiye,Guinea,4045,2930,
Turkiye,Cabo Verde,4570,6286,9816
Turkiye,Cuba,7242,19769,5072
Turkiye,Costa Rica,12343,7369,5087
Turkiye,Peru,9625,12425,12919
Turkiye,Malawi,301,53,1938
Turkiye,Mauritius,2178,2686,2612
Turkiye,Trinidad and Tobago,3101,4786,4090
Turkiye,"Tanzania, United Republic of",2236,3238,4534
Turkiye,Guatemala,4856,4082,4124
Turkiye,Mali,1829,1902,4582
Turkiye,"Macao, China",2791,3556,5010
Turkiye,Dominican Republic,9273,12115,4134
Turkiye,Uganda,0,244,1831
Turkiye,New Caledonia,3899,1631,1811
Turkiye,Faroe Islands,1307,2106,3066
Turkiye,Gambia,841,457,1738
Turkiye,Mozambique,427,674,1578
Turkiye,Mauritania,1847,5328,4436
Turkiye,Uruguay,5761,2702,2134
Turkiye,Burkina Faso,577,6331,1635
Turkiye,Honduras,135,3748,2027
Turkiye,Gabon,1971,2167,949
Turkiye,Andorra,619,663,1233
Turkiye,Benin,3608,5147,4517
Turkiye,Barbados,1394,1889,1634
Turkiye,Paraguay,756,490,1774
Turkiye,French Polynesia,1331,1781,2125
Turkiye,Mongolia,1233,,1232
Turkiye,El Salvador,3005,2190,1519
Turkiye,Nicaragua,1948,1340,2221
Turkiye,Togo,1142,10743,5137
Turkiye,Niger,724,639,1127
Turkiye,Seychelles,1720,130,489
Turkiye,Mayotte,642,371,478
Turkiye,Zambia,154,55,199
Turkiye,"Bolivia, Plurinational State of",397,525,398
Turkiye,Maldives,54,134,290
Turkiye,Suriname,745,,
Turkiye,Comoros,7,0,2
Turkiye,Cambodia,150,282,142
Turkiye,Rwanda,601,591,1059
Turkiye,Guyana,2525,1096,734
Turkiye,Namibia,316,613,926
Turkiye,Botswana,0,47,1791
Turkiye,Fiji,,119,497
Turkiye,Zimbabwe,243,1472,111
Turkiye,Saint Vincent and the Grenadines,32,34,68
Turkiye,Saint Lucia,103,49,152
Turkiye,Belize,10,10,27
Turkiye,Burundi,259,162,166
Turkiye,Brunei Darussalam,209,107,89
Turkiye,Grenada,20,72,67
Turkiye,Saint Kitts and Nevis,13,455,57
