reporter,Exporters,Imported value in 2001,Imported value in 2002,Imported value in 2003
Portugal,Spain,11836885,12807317,15168489
Portugal,Germany,5606174,6295191,7135798
Portugal,France,4113810,4431205,4840369
Portugal,Italy,3247041,3170188,3701384
Portugal,United Kingdom,2315772,2316811,2458656
Portugal,Netherlands,1749977,1660282,2135437
Portugal,Belgium,1447887,1428552,1616220
Portugal,United States of America,1239723,861271,862461
Portugal,Brazil,503090,581746,627335
Portugal,Japan,577911,556223,648917
Portugal,Algeria,308963,335067,542287
Portugal,Sweden,386391,439702,553091
Portugal,Switzerland,561048,579082,664287
Portugal,Denmark,210995,235087,239573
Portugal,Norway,529663,455960,480084
Portugal,China,260568,300880,406256
Portugal,Russian Federation,212105,136264,118818
Portugal,Poland,256773,360186,413524
Portugal,Ireland,270785,342015,349695
Portugal,Austria,308255,302365,404495
Portugal,Türkiye,286099,226648,315201
Portugal,Hungary,193669,218482,265438
Portugal,Kazakhstan,1067,5133,53600
Portugal,Finland,239101,263411,307884
Portugal,"Korea, Republic of",222182,228345,240146
Portugal,India,147101,163539,161376
Portugal,Czech Republic,126538,171172,142005
Portugal,"Taipei, Chinese",119630,125653,120823
Portugal,Mexico,110549,140794,186584
Portugal,"Hong Kong, China",125181,115889,120822
Portugal,Canada,67959,92063,80681
Portugal,Argentina,134684,130669,135941
Portugal,Thailand,111145,83985,100699
Portugal,Colombia,70697,57143,88302
Portugal,South Africa,82721,98717,94960
Portugal,Greece,70301,63289,88376
Portugal,Morocco,47433,62144,96577
Portugal,Pakistan,,,83968
Portugal,Iceland,111092,96733,90177
Portugal,Malaysia,48376,55765,57632
Portugal,Israel,53827,43481,49591
Portugal,Indonesia,75744,51876,50371
Portugal,Luxembourg,69900,57479,52978
Portugal,Singapore,37493,40941,65814
Portugal,Slovakia,27965,27816,44019
Portugal,Syrian Arab Republic,336130,344211,363486
Portugal,Mozambique,28213,39873,38910
Portugal,Romania,20782,32822,38291
Portugal,Egypt,15767,21015,47118
Portugal,Tunisia,16461,20481,25707
Portugal,Lithuania,5960,10212,11749
Portugal,Slovenia,14915,20745,22243
Portugal,Chile,20137,16553,24835
Portugal,Cuba,21903,27867,18452
Portugal,Latvia,955,5925,11131
Portugal,Ukraine,22509,82481,44524
Portugal,Mauritius,25495,18376,19687
Portugal,Côte d'Ivoire,9222,14838,17099
Portugal,Australia,30544,37808,39973
Portugal,Panama,13817,30016,28646
Portugal,Guyana,13226,23565,9580
Portugal,New Zealand,20189,15547,22831
Portugal,Cameroon,17320,14374,15473
Portugal,Viet Nam,6208,5571,10414
Portugal,Philippines,14040,18234,16391
Portugal,Bulgaria,19127,15061,14428
Portugal,"Venezuela, Bolivarian Republic of",124670,125161,8212
Portugal,Timor-Leste,,,
Portugal,Zimbabwe,23,8172,9969
Portugal,Gabon,33161,8004,29397
Portugal,Cabo Verde,7713,8055,9245
Portugal,Oman,401,828,119
Portugal,Costa Rica,4206,3182,5883
Portugal,Bangladesh,8187,8905,5958
Portugal,Uruguay,3712,8424,19640
Portugal,Estonia,4837,3788,7375
Portugal,Botswana,272,21674,28759
Portugal,Senegal,8120,3883,8664
Portugal,"Macedonia, North",4518,1593,6660
Portugal,Bahrain,67,2654,5911
Portugal,Sri Lanka,5949,4217,5458
Portugal,Peru,25900,34636,9094
Portugal,Malta,3543,5455,3959
Portugal,"Tanzania, United Republic of",4989,4034,3997
Portugal,"Iran, Islamic Republic of",4455,5283,3843
Portugal,Jordan,3845,3560,3420
Portugal,Honduras,1912,2857,3047
Portugal,Belarus,106,2155,2553
Portugal,Namibia,4393,3629,2679
Portugal,Trinidad and Tobago,570,3731,7577
Portugal,Saudi Arabia,121,263,1167
Portugal,Benin,1836,2838,1960
Portugal,Andorra,168,234,2792
Portugal,Paraguay,5114,611,674
Portugal,Ecuador,5998,5870,4189
Portugal,Malawi,4131,4206,1918
Portugal,Kenya,3599,919,2675
Portugal,Cyprus,515,626,6257
Portugal,Azerbaijan,0,2984,31
Portugal,"Macao, China",5162,2501,4001
