reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
Nigeria,China,1718559,2303162,2852152,3799462,6767052,5475594,6696844,9205574,9296313,12042613,15393425,13715724,10063893,12215486,13500035,16622615,16787427,22636158,22299683
Nigeria,Belgium,233274,273097,519453,861688,1219946,1158046,912421,2024555,1918891,2639946,2222681,1990916,2130700,2820335,3244622,2754865,1644453,3371506,7958824
Nigeria,United States of America,1554315,1619773,2230798,2786673,4101985,3658008,4060548,4904789,5029335,6388833,5967789,3431360,1894688,2173817,2687381,3198077,2802207,3887037,3375438
Nigeria,Netherlands,1067345,1340236,1635970,2800570,4510801,3308854,4453405,5319481,3455102,3585470,3499635,3257402,2566289,2829955,4965542,5873470,4422311,4514324,6450670
Nigeria,United Kingdom,1438540,1487693,1540903,2051144,2665074,1935913,2115763,2524425,2523470,2424305,2271627,1620696,1285363,1445847,1767987,1669937,1303571,1636683,1713757
Nigeria,Norway,37944,47884,56933,72442,276005,188837,324552,324755,317548,592099,467231,365151,459343,247278,728635,669896,752995,1262962,1748336
Nigeria,Italy,738019,703798,973792,1144362,1143534,1201351,1051424,1134136,1096684,1114911,1287768,799740,544866,550275,868841,828096,910747,1222288,792615
Nigeria,Brazil,504848,952094,1373161,1512288,1534740,1065926,862541,1192080,1066605,875861,955469,688377,731353,737143,667292,592850,586017,929680,875928
Nigeria,Germany,894221,938448,1228367,1486427,1886743,1532771,1455578,1823710,1645988,1791168,1852343,1143796,847817,1055711,1022561,1128645,1017232,1152744,1120512
Nigeria,France,935624,1303267,1543249,1527606,2162068,1734526,2107097,2055067,1730766,2019347,2014600,1438947,1281317,1206630,738854,656952,603038,724151,603729
Nigeria,Türkiye,80213,98558,83009,133269,280527,257481,250602,393837,438767,473174,510156,313984,241609,335424,346298,595924,610888,841297,806124
Nigeria,"Hong Kong, China",120800,86288,124348,195336,305406,231170,203400,290662,384814,366210,578494,802177,683670,649800,791549,725426,692169,812036,654337
Nigeria,"Korea, Republic of",680171,831070,809476,2374958,2535989,816518,805616,2487016,853740,1570323,1323808,685801,460947,2122126,918198,759364,516720,963715,886816
Nigeria,Malaysia,54972,184094,62868,98529,141763,243145,148948,629109,325842,387750,388696,711468,716053,381393,426500,484299,639388,909395,531856
Nigeria,Poland,35105,44339,35028,81256,67199,102348,72507,88688,95904,91433,144088,117805,87102,114838,110583,122746,99719,110452,237761
Nigeria,Canada,62742,92068,198397,173487,110960,196945,216386,229346,327392,436096,478693,367505,236728,335684,361328,374780,543219,483308,418032
Nigeria,Spain,321155,267783,243167,253734,353166,304704,341756,382119,425150,503440,444427,339955,240684,322017,334782,442236,347437,498960,401705
Nigeria,South Africa,444618,527689,590647,683754,955043,678080,615911,791529,783287,807695,971535,652575,440123,432205,451877,448683,404877,522607,472349
Nigeria,Lithuania,57,79,42,144,10500,115952,94871,82432,109375,17766,8708,8023,32124,76186,70020,56892,267999,254723,365531
Nigeria,Japan,385683,518704,563711,733573,927033,563976,672407,623215,625231,647702,722157,358819,328272,321105,328141,392273,285972,287556,248326
Nigeria,Ireland,151373,136842,187754,258754,301188,274342,274262,404083,391790,429410,450615,340878,280381,316812,258606,310898,298385,351368,304113
Nigeria,Latvia,3547,12655,2511,1126,2179,8491,8801,5623,5417,3028,1558,2657,4563,49632,23057,73490,196421,292218,259903
Nigeria,Thailand,323067,304402,270727,348141,893112,795608,931690,1093117,935925,410818,835956,555334,186323,169009,198514,211209,175568,273137,224104
Nigeria,"Taipei, Chinese",162593,178025,171280,188753,277936,243875,223952,244623,195601,262436,214771,143359,101914,98197,114538,237249,95899,322961,140521
Nigeria,Singapore,170153,165876,182856,254119,427409,288644,246574,318889,329841,317734,460183,210927,162291,224954,189871,243257,259590,408905,411914
Nigeria,Switzerland,115891,95351,152389,174167,188158,172767,258513,253713,236263,249198,262858,189987,143787,187944,215495,151361,148643,160414,178044
Nigeria,Chile,21971,26603,47386,54062,32061,58480,19104,55396,98030,77548,84487,30697,27206,35264,74434,91183,56982,120279,135541
Nigeria,Austria,121076,123652,117418,222926,246006,135921,128426,146570,145297,169837,187812,111058,73531,82058,78474,116293,84657,135826,141033
Nigeria,Sweden,288348,255116,230725,369105,464694,283011,486457,878879,493619,339608,371991,248740,179304,100163,86561,91330,86818,79937,174967
Nigeria,Cyprus,1912,2246,2819,2486,2916,2013,2632,2885,3100,5275,7450,31792,2901,3789,1448,24520,3023,3483,52737
Nigeria,New Zealand,44833,41486,69971,125485,163206,126002,156211,270776,223168,255841,278589,199898,124660,171735,106953,116563,124296,163735,147952
