reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
United Kingdom,Samoa,152,21,3917
United Kingdom,Kyrgyzstan,14064,551,81
United Kingdom,Montserrat,124,176,134
United Kingdom,Andorra,115,76,320
United Kingdom,Albania,188,1430,463
United Kingdom,Mali,1627,4281,26774
United Kingdom,Eswatini,8917,4461,925
United Kingdom,Togo,248,236,169
United Kingdom,French Polynesia,243,145,51
United Kingdom,New Caledonia,158,14,32
United Kingdom,Timor-Leste,,,
United Kingdom,Solomon Islands,0,0,56
United Kingdom,Cabo Verde,7,0,0
United Kingdom,Comoros,237,936,0
United Kingdom,Mayotte,8,0,0
United Kingdom,Sao Tome and Principe,0,0,0
United Kingdom,Turks and Caicos Islands,0,6,93
United Kingdom,Nepal,,,13606
United Kingdom,Eritrea,,,175
United Kingdom,Sierra Leone,,15,
United Kingdom,Central African Republic,0,752,2047
United Kingdom,Lesotho,244,0,92
United Kingdom,Nigeria,44842,10667,96211
United Kingdom,Tonga,40,0,3
United Kingdom,Anguilla,66,152,12
