reporter,Importers,Exported value in 2001,Exported value in 2002,Exported value in 2003
Brazil,Sao Tome and Principe,51,0,33
Brazil,Solomon Islands,72,61,3
Brazil,Guinea-Bissau,,,366
Brazil,Greenland,0,0,375
Brazil,Kenya,14032,13690,12086
Brazil,Eswatini,3684,0,14310
Brazil,Nepal,,,606
Brazil,Eritrea,,,2914
Brazil,Sierra Leone,,4000,
Brazil,Tuvalu,,8,
Brazil,Central African Republic,2,466,1127
Brazil,Lesotho,0,1,548
Brazil,Nigeria,174611,180199,182715
Brazil,Tonga,0,13,19
Brazil,Anguilla,51,29,60
