reporter,Exporters,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Djibouti,China,72220,111459,154950,166859,252268,294602,444061,508853,902580,1018884,1112181,1985868,2191006,2187202,1871676,2206386,2310112,2572275,3262001,3393628
Djibouti,Türkiye,8573,7128,10559,45388,40274,42282,30788,45491,88690,71259,61385,98249,77949,102506,196648,255695,319971,307025,549588,472429
Djibouti,Malaysia,13336,21812,32980,79147,140463,146632,180303,160998,77711,92214,47173,63782,90994,144408,204866,79001,109964,181606,374794,349739
Djibouti,United States of America,43650,47571,47629,58934,140839,196692,122793,129176,118842,164483,110875,144708,132795,157304,110963,150077,189298,186609,180231,191425
Djibouti,France,50488,51344,56145,67531,78156,71510,67938,91248,83487,85394,93085,96001,95110,92166,85007,81085,83079,82452,89519,107790
Djibouti,Brazil,9754,4141,7549,10291,7259,25930,54987,14413,45137,7955,20699,14340,90578,62185,22130,6623,17824,9205,17791,92838
Djibouti,Romania,160,79,137,0,196,162,441,931,389,389,40969,18057,49071,32930,578,3876,9059,1197,1161,85105
Djibouti,South Africa,6100,5654,16890,9922,15231,18662,14137,27748,36015,30304,47239,51942,53240,95592,110578,67729,42605,74820,49891,67709
Djibouti,Japan,30877,46746,44960,73895,51778,98037,37922,66329,43659,11838,35766,63797,34003,52117,34941,51891,97597,66876,89024,45103
Djibouti,United Kingdom,19050,10206,9523,12335,13713,9824,9611,9031,44653,10555,21725,18121,12250,13588,14421,23695,26668,18107,38387,33036
Djibouti,"Korea, Republic of",7955,15371,20875,19317,33533,41475,25722,47552,93781,63487,58052,53761,78248,83246,51158,36511,68168,36234,39190,30819
Djibouti,Thailand,5631,6932,14006,15384,37041,30282,30687,37823,27072,68195,56599,32732,32011,64308,51139,42752,24811,36401,37211,30699
Djibouti,Italy,16312,17473,26307,26298,26801,22085,19265,23766,17633,22038,27800,38835,32928,27833,21048,29022,19086,18723,34797,23442
Djibouti,Singapore,13273,10085,13043,9091,11849,10639,12991,9130,12658,19495,26504,27200,20112,11722,12694,17217,23755,28071,54563,22132
Djibouti,Belgium,14411,6048,30019,21363,15354,21742,25916,17860,18032,21115,24876,35364,23324,51067,26633,46937,13849,20882,18675,18416
Djibouti,Netherlands,18128,19481,33097,36983,33014,28441,26286,34154,34213,36570,36425,32536,37660,27874,27369,28392,24951,27423,26305,16556
Djibouti,Germany,11799,7826,16863,28405,19284,14292,9100,10311,13488,23021,10912,20538,24054,21992,16710,18741,18444,27054,20309,15265
Djibouti,"Taipei, Chinese",9784,11191,12953,13727,10056,9082,16998,21972,46647,34446,37176,24706,22383,35334,28567,33145,28092,17295,21955,14064
Djibouti,Finland,1801,4963,6373,6663,2304,3633,3148,5080,1744,390,1184,907,933,352,210,2620,548,894,175,12743
Djibouti,Poland,9448,871,1050,1083,1581,1388,1072,1199,2190,4016,5058,9108,7392,5926,5708,8082,8569,15372,14201,11206
Djibouti,Ukraine,154,10688,18110,1604,19047,41390,10239,59862,102718,39604,89529,59774,14890,8849,34939,38499,22034,83909,33652,11170
Djibouti,Spain,2061,3313,4995,3935,10229,6960,6003,10276,7727,14947,14961,21195,43921,65033,18689,27589,22859,35417,13340,10214
Djibouti,Denmark,2379,2024,1372,1197,2226,1041,4258,8018,11498,5968,7659,6694,7208,5245,5401,7389,5347,5061,4888,4630
Djibouti,Australia,1499,1541,1243,2086,3054,2134,6183,4482,3737,2998,2385,1494,3278,3217,1893,1602,1376,9260,7941,4578
Djibouti,"Hong Kong, China",1861,5929,3480,1571,2123,3535,1298,716,1155,2531,3067,1525,1987,7945,4587,2620,1896,2091,987,4229
Djibouti,Austria,933,1020,1724,976,2302,2036,1463,839,1150,2139,1102,1265,936,679,1341,3391,4818,4176,2746,3703
Djibouti,Malta,1904,1507,1975,1638,1878,3335,3733,6539,6558,5880,6958,6792,6717,4510,7290,8291,8441,6062,2611,3438
Djibouti,Switzerland,1526,276,451,502,1022,467,670,868,722,748,439,762,797,635,499,3968,469,3610,2817,3428
Djibouti,Bulgaria,24,15,16,36,47779,28507,8268,1610,582,244,59,18000,76,9467,114,75,233,81,33,3223
Djibouti,Croatia,0,26,0,0,123,30,0,5,353,2801,5186,400,1421,2407,2141,1769,4077,1249,5579,2668
Djibouti,Sweden,4058,4412,3318,9196,4238,4080,8561,26398,7011,7625,5323,5955,6752,4482,5325,2532,1712,3335,3366,2377
