reporter,Exporters,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Estonia,Saint Lucia,0,0,0,0,0,,,,0,0,0,0,0,0,54,0,0,,,
Estonia,Mali,0,0,0,0,0,,0,160,0,,,,0,0,0,0,0,0,0,
Estonia,Bangladesh,178,116,215,664,668,323,864,2995,2913,2192,,1293,,,,,,,,
Estonia,Qatar,0,0,0,0,0,0,0,21574,2,146,0,110,,596,117,24,121,39,0,
Estonia,Sri Lanka,802,1372,1194,1598,2379,1430,2550,5793,3589,3832,4754,4388,4671,6363,,5954,6717,5369,8867,
Estonia,Albania,0,0,0,0,163,71,85,47,0,21,102,98,3520,5800,8410,11069,11217,12491,84,
Estonia,Azerbaijan,98,1463,525,501,761,396,462,664,379,771,223,253,661,700,1315,2295,1593,1797,2235,
Estonia,Bahrain,0,0,0,75,19,0,0,419,0,49,20,260,383,369,240,137,337,1061,193,
Estonia,Armenia,6,5,1026,465,725,39,593,80,82,134,153,231,619,637,585,591,626,1085,1620,
Estonia,Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Estonia,Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,
Estonia,Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,
Estonia,Cambodia,23,175,1282,1306,948,432,672,1589,1139,425,483,949,1369,796,2017,1225,1587,2788,2724,
Estonia,Dominican Republic,219,140,228,75,83,23,12,160,407,483,386,433,405,790,615,1464,1566,2354,879,
Estonia,Ethiopia,0,0,0,0,0,64,490,347,1,76,326,0,576,100,250,418,288,548,1222,
Estonia,Fiji,0,0,0,0,0,0,2,1,0,0,0,0,5,0,0,0,0,0,0,
Estonia,French Polynesia,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,
Estonia,Georgia,873,2782,1884,1443,970,1234,879,2775,3686,1939,2501,2240,2789,3828,4253,5446,3567,3263,4642,
Estonia,Guyana,6,0,0,35,0,0,0,0,0,0,0,969,0,0,0,0,38,32,66,
Estonia,Indonesia,6049,5778,6118,18908,24081,19252,21887,34463,41579,46304,61014,52464,47568,76240,99992,167499,182155,322016,309874,
Estonia,"Iran, Islamic Republic of",237,791,169,577,276,49,111,57,439,553,53,35,43,348,372,324,593,632,490,
Estonia,Israel,4095,8748,13919,16433,13653,7507,10309,13379,15941,17726,16821,11525,9578,9230,21622,9826,8689,17364,12531,
Estonia,Côte d'Ivoire,3650,12879,158381,118041,165661,132611,232560,176487,175454,177129,172698,158803,132879,142550,112743,175280,143205,186237,108907,
Estonia,Jamaica,21,0,0,17,0,0,0,0,0,3,3,0,0,0,0,0,0,0,32,
Estonia,Kazakhstan,42280,128516,32669,15840,20954,6396,52719,37864,11127,4712,1411,14996,8275,11152,4768,5208,1358,4623,58663,
Estonia,Jordan,0,58,4,33,15,2,5,195,107,4,49,112,371,564,394,93,31,54,44,
Estonia,Kenya,9,0,5,62,17,316,0,0,14,161,1540,2037,106,2,552,4,4,109,1161,
Estonia,Kyrgyzstan,1052,363,88,3660,3894,2034,2260,116,79,128,1,0,225,648,422,591,615,1197,678,
Estonia,Lebanon,260,225,184,243,231,400,197,156,66,23,0,133,88,36,115,81,27,8,11,
Estonia,"Macao, China",102,82,49,45,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Estonia,Malawi,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Estonia,Mauritius,0,1689,10,12,0,6,1,1,0,0,158,6,0,0,0,0,2,10,75,
Estonia,Mexico,365,878,2928,9182,7001,2072,6053,4298,8745,7021,2920,8596,16587,11210,12619,8241,5666,3728,2528,
Estonia,"Moldova, Republic of",1110,1854,1898,1554,1715,1877,2177,2618,3046,3371,4417,4272,3433,3616,3136,3656,5809,5014,3971,
Estonia,Morocco,76,84,609,1067,170,917,575,840,3311,8553,7659,1099,905,2840,5571,6079,2411,1667,2906,
Estonia,Mozambique,0,0,0,0,0,0,0,0,23,0,0,8,0,0,0,5323,1,0,0,
Estonia,Oman,0,5,0,93,283,37,101,7502,3847,481,0,28,50,43,6312,38,374,2109,10730,
Estonia,Namibia,88,108,7,8,8,7,11,42,13,32,30,70,49,12,13,12,0,10,0,
Estonia,Nicaragua,2,2,2,2,48,154,417,172,203,392,2,68,65,66,33,30,9,0,2086,
Estonia,Niger,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,12,0,
Estonia,Pakistan,9797,15294,14597,17940,29412,12338,15400,17238,28819,27814,21469,15962,15988,14833,23546,14934,13893,12248,15192,
Estonia,Panama,0,0,81,0,0,42,0,11,99,486,1385,0,6,40,18,53,0,0,0,
Estonia,Philippines,407,622,3768,2313,2487,935,1582,2170,3832,1556,2764,4906,2571,3575,2425,5160,2424,3380,5865,
Estonia,Rwanda,0,0,0,0,0,0,0,177,0,0,0,6,0,0,0,7,0,0,174,
Estonia,Saint Vincent and the Grenadines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Estonia,Saudi Arabia,504,234,123,47,422,436,711,505,1728,62453,103544,70918,74235,48284,38652,36486,24650,50308,50313,
Estonia,Senegal,0,0,0,1910,0,0,0,0,0,0,0,0,0,0,42,5,0,0,0,
Estonia,India,8785,12878,21401,66071,48547,32338,45386,99622,99721,84439,68341,69921,85653,87486,64019,71822,51092,59458,72364,
Estonia,Viet Nam,2191,2425,7941,5788,9234,8869,6643,11412,11538,11210,19694,25501,30778,34706,42536,31899,48866,33644,38944,
Estonia,Zimbabwe,0,22,7,0,0,0,18,20,0,4,0,0,0,0,0,0,0,0,0,
Estonia,Trinidad and Tobago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,60,0,1,
Estonia,Tunisia,0,9,425,2188,3686,5016,8166,3343,2502,1831,2105,2912,535,635,705,1303,628,489,627,
Estonia,Uganda,0,0,0,62,6,61,0,196,101,496,247,645,208,348,681,903,263,229,3628,
Estonia,"Macedonia, North",35,23,35,111,112,43,53,313,258,477,371,99,780,21,3568,1802,1329,898,1515,
Estonia,Egypt,145,60,369,2261,1899,3383,1695,3770,4631,3380,3348,2671,3404,5140,6560,5074,3341,5848,5930,
Estonia,"Tanzania, United Republic of",0,0,0,1328,891,1487,1359,0,0,116,154,18,7,0,1,0,82,48,226,
Estonia,Uruguay,189,269,64,2,875,508,1477,2427,410,0,47,0,205,0,0,151,225,1042,1729,
Estonia,Zambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1,0,
Estonia,Belarus,89978,106417,94499,226452,329156,119770,126315,577784,485861,105952,97042,76046,64780,83445,142975,107161,92271,132343,,
Estonia,Cameroon,0,0,0,43,0,0,279,285,122,2466,2277,173,82,0,0,37,48,70,,
Estonia,Gabon,0,0,2100,0,0,0,0,0,6,6,4,0,0,0,0,10,62,49,,
Estonia,Honduras,0,0,25,243,765,285,645,0,51,61,170,322,25,85,242,40,1,65,,
Estonia,Russian Federation,1571551,2114335,2707551,1469001,954485,890383,1543179,2611710,3473698,3747110,3496591,2085002,2041604,1867841,2452566,2449467,2594003,4131260,,
Estonia,Eswatini,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,,
Estonia,Ghana,12524,23907,68755,40109,50266,35329,79003,121951,80879,50754,93378,99159,71302,131051,103078,103068,,,,
Estonia,Greenland,0,0,0,0,0,0,0,0,0,7,0,0,15555,0,0,,,,,
Estonia,Algeria,0,374,46,0,0,10017,0,0,0,0,0,0,1,218252,,,,,,
Estonia,Guinea,0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,
Estonia,New Caledonia,0,0,0,0,0,64,0,0,0,0,0,0,,,,,,,,
Estonia,"Venezuela, Bolivarian Republic of",0,9,0,2,0,0,8,0,0,0,,,,,,,,,,
Estonia,Sudan (before 2012),9,0,0,0,1074,0,0,0,,,,,,,,,,,,
Estonia,Syrian Arab Republic,675,162,768,921,492,176,253,,,,,,,,,,,,,
Estonia,Faroe Islands,839,1047,931,1060,4710,2631,,,,,,,,,,,,,,
Estonia,Serbia and Montenegro,214,,,,,,,,,,,,,,,,,,,
