partner,reporter,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Iceland,Zimbabwe,0,0,0,2594,0,0,62,0,0,0,0,0,0,0,0,0,0,0,379,
Iceland,Trinidad and Tobago,1,0,0,17,0,0,0,0,0,0,67,4,0,0,0,130,0,0,18,
Iceland,Tunisia,720,940,448,10496,1385,1632,1846,2726,7909,1283,1108,1025,1348,688,2091,3989,2668,1476,2568,
Iceland,Uganda,0,223,278,15,42,0,0,0,0,0,0,0,0,3,0,2,0,0,0,
Iceland,"Macedonia, North",28,0,0,25,0,0,1,36,2,11,3,34,8,57,77,4,15,15,240,
Iceland,Egypt,1,0,81,0,248,322,11,220,70,54,38,1834,1156,1307,2789,1384,455,2691,414,
Iceland,"Tanzania, United Republic of",247,284,242,24,484,495,508,2049,3430,4539,4148,2402,0,8,0,96,0,73,147,
Iceland,Burkina Faso,0,0,107,0,0,2,0,0,0,0,0,0,0,12,28,28,48,55,165,
Iceland,Uruguay,5,62,10,28,201,0,0,0,0,11,0,0,13,0,0,5,71,1,0,
Iceland,Samoa,0,0,0,0,0,0,0,0,0,0,38,41,0,0,0,0,0,0,0,
Iceland,Zambia,11,0,0,12,5,33,10,154,204,67,0,0,0,0,17,0,0,4,0,
Iceland,Belarus,6157,3543,10973,12597,15718,1915,4338,4473,1185,4448,7733,6297,3217,5359,14460,13872,5893,14437,,
Iceland,Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,,
Iceland,Gabon,117290,0,283,251,0,50345,0,0,0,159549,39890,0,0,0,9,0,3,0,,
Iceland,Honduras,0,105,0,74,132,4,0,3,187,0,0,14,0,0,0,0,0,0,,
