reporfer,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Kyrgyzstan,Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Kyrgyzstan,Guatemala,0,3,0,0,0,0,2,90,79,0,268,0,2,0,0,0,0,0,92,2
Kyrgyzstan,"Bolivia, Plurinational State of",0,0,0,0,7,1,684,0,8,0,0,260,1,37,0,10,0,74,0,0
Kyrgyzstan,Cabo Verde,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,126,0
Kyrgyzstan,Peru,0,22349,0,2,0,25,610,0,0,1,0,0,58,1,193,5,3,1576,1922,0
Kyrgyzstan,Cayman Islands,,,,,,,,,,,,,,,,,2,0,,
Kyrgyzstan,Liberia,,,,,,,,,,,,,,279,740,319,302,832,131,
Kyrgyzstan,Uzbekistan,,,,,,,,,,,,,,41,113,79,22,6,6,
Kyrgyzstan,"Congo, Democratic Republic of the",,,,,,,,,,,,4277,8790,806,149,325,1432,24174,176292,
Kyrgyzstan,Tajikistan,,,,,,,,,,,41,144,0,0,0,25,91,0,0,
Kyrgyzstan,Sierra Leone,,,,,,,,,,,63,174,144,121,312,,,,,
Kyrgyzstan,Iraq,,,,,,,,,,,230488,,,,,,,,,
Kyrgyzstan,Haiti,,,,,,,,,,4,46,77,0,0,,,,,,
Kyrgyzstan,Palau,,,,,,,,,0,,0,0,2,0,0,,,,,
Kyrgyzstan,Bermuda,,,,,,,,,0,0,0,0,0,1,0,0,2,0,4,
Kyrgyzstan,Sudan,,,,,,,,,15732,59320,14953,17494,10421,5487,65163,,,,,
Kyrgyzstan,Myanmar,,,,,,,873,817,70,101,1067,105,134,565,3054,1761,1667,396,6,
Kyrgyzstan,Lao People's Democratic Republic,,,,,,,0,0,0,0,0,0,0,0,0,5,0,0,,
Kyrgyzstan,Nepal,,,,,,4562,2358,2070,363,901,209,304,526,442,214,885,920,3062,5176,
Kyrgyzstan,Djibouti,,,,,,2370,,,,,,,,,,,,,,
Kyrgyzstan,Afghanistan,,,,,0,0,0,0,0,0,0,0,0,494,436,42,,,,
Kyrgyzstan,"Libya, State of",,,,304,230,1652,370,,,,,2177,351,5514,2139,1537,,,,
Kyrgyzstan,Congo,,,,0,5230,691,798,24,325,2,0,3,68,259,510,19,53,152,158,
Kyrgyzstan,"Palestine, State of",,,,4,0,16,745,1655,657,628,1107,1192,681,680,709,955,747,4379,8039,
Kyrgyzstan,Vanuatu,,,0,0,,0,0,55,,,,,,,,,,,,
Kyrgyzstan,Montenegro,,,0,0,1,0,3,1,3,12,22,5,6,41,33,1,1,1,2,
Kyrgyzstan,Central African Republic,,,19,0,0,2,0,0,0,0,70,0,0,0,0,0,0,0,0,
Kyrgyzstan,Nigeria,,,8750,1268,15256,2455,1007,360,2649,1741,10162,7607,522,658,1246,492,9970,65100,30448,
Kyrgyzstan,Antigua and Barbuda,,0,,3,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Kyrgyzstan,United Arab Emirates,,266876,,440410,513067,,,,1181873,1140568,961492,750677,923506,1773506,2302702,2048573,1142850,1332283,2048241,
Kyrgyzstan,Lesotho,,0,0,0,0,0,0,0,9,0,36,73,53,22,312,18,3,62,152,
Kyrgyzstan,Bhutan,,0,0,657,0,1315,679,0,44,,,,,,,,,,,
Kyrgyzstan,Netherlands Antilles,,1,11,0,16,,,,,,,,,,,,,,,
Kyrgyzstan,Papua New Guinea,3,,,,,,,24,13,,,,,,,2,0,4,,
Kyrgyzstan,Andorra,0,,0,8,0,0,0,0,0,1,0,0,0,0,0,15,0,0,0,
Kyrgyzstan,Kuwait,0,,0,0,0,0,0,0,0,0,0,2559,0,0,0,0,1530,0,0,
Kyrgyzstan,Guinea-Bissau,0,0,,,,,,,,0,0,0,0,0,21,,,,,
Kyrgyzstan,Suriname,0,0,,0,,0,0,0,0,0,12,0,5,0,0,0,17,0,0,
Kyrgyzstan,Mauritania,64,0,,31,21,301,123,47,583,29,98,103,160,31,368,132,34,48,134,
Kyrgyzstan,Togo,4183,10339,,2252,1295,247,44,11688,4948,1058,166,1978,2028,2737,1745,1977,1503,12942,23723,
Kyrgyzstan,Comoros,0,0,,85,554,187,1232,472,227,28,0,4,80,0,52,69,47,57,,
Kyrgyzstan,Cuba,0,0,0,,,,,,,,,,2898,7179,0,0,0,0,0,
Kyrgyzstan,Seychelles,76,0,0,,22,8,295,38,28,9,13,26,50,17,21,44,0,0,0,
Kyrgyzstan,Mongolia,22,54,7,1258,,,60,1,114,0,5,0,0,0,9,0,0,0,0,
Kyrgyzstan,Angola,226,0,1,29,,20307,51,4466,865,2361,168,1785,2101,3322,5686,5759,2008,4760,3196,
Kyrgyzstan,Mali,364,30,0,32,26,,203,0,43,,,,0,5,28,33,196,1028,388,
Kyrgyzstan,Bangladesh,392995,856938,1457558,1266291,1239242,852459,815137,901890,957926,596461,,1196008,,,,,,,,
Kyrgyzstan,Qatar,28286,47009,86114,107629,149391,111778,141028,208947,211263,225268,239473,197993,,254810,316447,282915,226360,225497,248809,
Kyrgyzstan,Sri Lanka,11742,7702,8021,7601,12229,26760,11900,45637,14181,17556,22143,27678,17222,15320,,21810,65601,27836,15329,
Kyrgyzstan,Albania,24,4,17,0,2,65,1603,996,585,142,11,7,27,85,233,116,107,237,16,
Kyrgyzstan,Azerbaijan,25,202,6,30,502,0,705,53,178,57,406,3880,3531,7030,1239,3256,77,82,164,
Kyrgyzstan,Bahamas,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,
Kyrgyzstan,Bahrain,35539,36277,28332,62165,191153,136176,89310,90994,141396,118960,130179,158305,130570,90218,111861,90898,92639,138791,195884,
Kyrgyzstan,Armenia,24,0,37,198,292,79,122,803,168,347,20,40,9,2,127,107,116,2,143,
Kyrgyzstan,Barbados,22,0,0,0,2,0,0,8,0,0,0,22,0,0,0,1,0,0,0,
Kyrgyzstan,Botswana,2,0,0,0,0,0,1,12,0,3,2,7,0,0,0,4,19,43,3,
Kyrgyzstan,Brunei Darussalam,6,0,0,13,22,45,2,4,4,5,5,12,0,4,53,20,1,1,0,
Kyrgyzstan,Burundi,0,0,0,44,0,1,0,0,0,298,0,114,0,4,0,2,0,2,513,
Kyrgyzstan,Cambodia,0,2,0,2,39,0,64,162,207,44,23,11,4,2,5,4,48,70,457,
Kyrgyzstan,Benin,1611,1309,1,24,32,130,53,61,262,96,142,300,352,185,163,102,247,1925,10034,
Kyrgyzstan,Dominican Republic,3,1,0,0,0,6,4,2,27,0,1,2538,1,0,0,0,0,2882,9,
Kyrgyzstan,Ethiopia,389,1533,1551,4965,6050,3138,3001,219763,727405,335855,942538,753143,545696,565457,1167388,1880358,585872,511139,344835,
Kyrgyzstan,Fiji,0,0,2,12,0,0,0,0,33,0,3,7,11,23,41,13,14,17,29,
Kyrgyzstan,French Polynesia,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,
