reporter,Importers,Exported value in 2001,Exported value in 2002,Exported value in 2003
Japan,United States of America,126473307,124566141,121238585
Japan,China,42787308,53465999,74148125
Japan,"Korea, Republic of",26633084,29855162,36313002
Japan,"Taipei, Chinese",25847736,27375307,32669194
Japan,"Hong Kong, China",22701838,23444075,27606461
Japan,Germany,20370217,18686397,21654140
Japan,Thailand,13811060,14889174,18260388
Japan,United Kingdom,17872352,17276385,19072526
Japan,Singapore,16082402,14577958,15393002
Japan,Malaysia,14211044,14300167,14282271
Japan,France,9858755,9864149,11636201
Japan,Australia,8344980,9062529,11131503
Japan,Mexico,8085237,9347720,7594572
Japan,Canada,9457044,9834672,9882956
Japan,Belgium,5118235,6257818,7584269
Japan,Netherlands,7789724,6044333,7310034
Japan,Philippines,6995947,7926492,8295476
Japan,Spain,3888041,4031386,5684161
Japan,Italy,5620656,5023423,5968702
Japan,Indonesia,4689470,4409307,4228257
Japan,Saudi Arabia,3422491,3518834,4425628
Japan,Russian Federation,870782,980279,1882939
Japan,Viet Nam,2183080,2504652,2982059
Japan,South Africa,1721714,1819216,2424928
Japan,Brazil,3203297,2450170,2631008
Japan,India,1788176,2139663,2333143
Japan,Ireland,1783125,1737976,2596829
Japan,Türkiye,1307372,1465507,1927096
Japan,New Zealand,1467437,1803119,2171113
Japan,Switzerland,2104918,1898257,2202206
Japan,Austria,1574705,1553851,2051300
Japan,Czech Republic,675662,942460,1167910
Japan,Sweden,1430127,1496005,1848500
Japan,Finland,1426246,1461214,1704399
Japan,Hungary,1555362,1571047,2016988
Japan,Poland,967031,1019261,1247605
Japan,Norway,1224937,1067279,1433816
Japan,Greece,862756,944936,1918540
Japan,Oman,892124,968763,621709
Japan,Israel,1011841,781884,843643
Japan,Bangladesh,585579,567472,580499
Japan,"Iran, Islamic Republic of",718705,719417,959947
Japan,Chile,548457,644128,716423
Japan,Pakistan,,,861934
Japan,Portugal,728842,679910,756713
Japan,Kuwait,752214,962780,1083956
Japan,Colombia,558975,619438,642870
Japan,Syrian Arab Republic,656569,681210,672876
Japan,Algeria,206763,372649,380355
Japan,Denmark,607153,656960,474263
Japan,Argentina,767256,314049,395846
Japan,Slovakia,237167,308195,427376
Japan,"Venezuela, Bolivarian Republic of",749158,435911,194582
Japan,Costa Rica,230026,296270,307727
Japan,Romania,153595,217221,297744
Japan,Ukraine,161828,184443,377670
Japan,Sri Lanka,337391,355006,448264
