reporter,Importers,Exported value in 2001,Exported value in 2002,Exported value in 2003
Croatia,Italy,784669,848043,1147581
Croatia,Bosnia and Herzegovina,,,642564
Croatia,Germany,601036,570655,662073
Croatia,Austria,288280,343843,454761
Croatia,Slovenia,413685,408476,520507
Croatia,United States of America,139017,150273,186145
Croatia,Serbia and Montenegro,128983,140250,
Croatia,France,169152,164092,164090
Croatia,Hungary,59911,77873,77559
Croatia,Sweden,23621,22590,46281
Croatia,United Kingdom,78073,63927,78315
Croatia,Greece,21655,15779,82920
Croatia,Belgium,58415,53162,52562
Croatia,Russian Federation,77243,64442,62406
Croatia,"Macedonia, North",46391,55229,63550
Croatia,Japan,27603,59164,65137
Croatia,Poland,28995,27596,39579
Croatia,Czech Republic,38502,51727,48840
Croatia,Netherlands,40920,36983,42992
Croatia,Switzerland,25411,30105,34495
Croatia,Romania,4787,5809,20549
Croatia,Spain,42258,35520,40969
Croatia,Türkiye,17330,9388,16697
Croatia,Bulgaria,2322,13928,30797
Croatia,Slovakia,17942,20309,30102
Croatia,Albania,17306,32348,28524
Croatia,Egypt,35388,30873,27498
Croatia,China,5124,5745,6809
Croatia,Ireland,24595,35864,28472
Croatia,Denmark,10081,10228,11758
Croatia,Canada,10335,11143,15142
Croatia,Ukraine,6932,11438,18690
Croatia,Saudi Arabia,3396,4213,5078
Croatia,Australia,4670,6501,8999
Croatia,Cyprus,3284,3243,3658
Croatia,Syrian Arab Republic,0,0,33161
Croatia,"Iran, Islamic Republic of",9488,11244,12784
Croatia,Singapore,855,638,1132
Croatia,Belarus,4609,3185,12484
Croatia,Norway,6342,5865,6875
Croatia,Finland,4481,4266,6282
Croatia,Kazakhstan,1635,5138,7854
Croatia,Mexico,4709,2886,8836
Croatia,"Korea, Republic of",2844,3419,1980
Croatia,Lithuania,3930,6039,5556
Croatia,Israel,2597,3049,5809
Croatia,Algeria,2422,6090,373
Croatia,Latvia,1621,2919,2311
Croatia,Morocco,10867,7870,1727
Croatia,Estonia,872,1884,1043
Croatia,South Africa,3591,3468,926
Croatia,Kuwait,1715,942,1445
Croatia,"Hong Kong, China",2990,1277,1206
Croatia,"Taipei, Chinese",581,7873,1927
Croatia,"Moldova, Republic of",2789,1977,3076
Croatia,Chile,1067,557,1047
Croatia,Portugal,5523,1458,2383
Croatia,Viet Nam,57,305,1349
Croatia,Thailand,1365,1179,1290
Croatia,Georgia,591,2548,602
Croatia,Lebanon,6249,6709,3341
Croatia,Indonesia,395,709,1077
Croatia,Brazil,4819,765,13718
Croatia,Bangladesh,52,1051,716
Croatia,Pakistan,,,1758
Croatia,Peru,0,94,247
Croatia,Luxembourg,833,458,612
Croatia,New Zealand,544,850,1314
Croatia,India,1282,881,7352
Croatia,Malaysia,1614,565,815
Croatia,Azerbaijan,2311,133,136
Croatia,Tunisia,6645,973,7429
Croatia,Iceland,237,418,776
Croatia,Philippines,315,498,352
Croatia,Andorra,102,102,182
Croatia,Colombia,385,111,193
Croatia,Malta,333,272,451
Croatia,Argentina,2250,850,1086
Croatia,Cuba,171,1376,154
Croatia,Armenia,333,15,9
Croatia,Sri Lanka,4,164,528
Croatia,Benin,0,0,0
Croatia,Qatar,1643,84,2529
Croatia,Honduras,0,39,5
Croatia,"Macao, China",29,99,120
Croatia,Faroe Islands,22,36,165
Croatia,Jordan,1957,1607,246
Croatia,Yemen,,,
Croatia,Uganda,0,1,0
Croatia,Bahrain,192,334,364
Croatia,Ethiopia,92,23,92
Croatia,Mali,0,16,7
Croatia,New Caledonia,7,4,109
Croatia,Oman,2709,34,152
Croatia,Costa Rica,4,0,52
Croatia,Kyrgyzstan,2,2359,24
Croatia,Uruguay,68,15,27
Croatia,Seychelles,0,0,0
Croatia,"Venezuela, Bolivarian Republic of",171,170,304
Croatia,"Bolivia, Plurinational State of",56,0,25
Croatia,Mayotte,20,27,57
Croatia,Nicaragua,0,12,32
Croatia,Sudan (before 2012),0,99,0
Croatia,Mauritius,29,91,20
Croatia,Belize,37,11,0
Croatia,Dominican Republic,0,74,109
Croatia,French Polynesia,1,4,19
Croatia,Cameroon,0,0,4
Croatia,Jamaica,0,1,0
Croatia,Papua New Guinea,3,0,0
Croatia,Gabon,41,0,45
Croatia,Suriname,0,,
Croatia,Trinidad and Tobago,0,0,0
Croatia,Mozambique,1,35,19
Croatia,Angola,,,
Croatia,Fiji,,0,1
Croatia,Côte d'Ivoire,5,0,0
Croatia,Paraguay,31,31,369
Croatia,Ghana,0,,5
Croatia,Barbados,0,0,52
Croatia,Botswana,0,5506,0
Croatia,Ecuador,78,47,25
Croatia,"Tanzania, United Republic of",2,0,5
Croatia,Cambodia,0,4,0
Croatia,Mongolia,1,,0
Croatia,El Salvador,0,5,45
Croatia,Greenland,0,0,22
Croatia,Guatemala,56,10,15
Croatia,Kenya,78,1,205
Croatia,Panama,1,0,0
Croatia,Zimbabwe,1,11,5
Croatia,Zambia,2,0,0
Croatia,Eritrea,,,121
