reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003,Imported value in 2004
Austria,Germany,29245873,31258928,39808797,49032280
Austria,Italy,5273591,5630507,6962349,8622789
Austria,Netherlands,3429962,3158838,4028777,4660922
Austria,France,2892088,2853676,3555768,4367646
Austria,Switzerland,2791957,3210400,3678196,4097609
Austria,Hungary,2416789,2434127,3487782,4010035
Austria,Czech Republic,1921348,2652784,3042768,3852483
Austria,Belgium,2066079,2263867,2686256,3347938
Austria,Slovakia,1026971,1112074,1632896,2192113
Austria,United Kingdom,1745860,1934990,2093083,2018563
Austria,United States of America,2604708,2427413,1768255,1945583
Austria,Spain,1041994,1148773,1441820,1591818
Austria,Poland,716260,734922,894065,1456128
Austria,Sweden,745992,833953,1065263,1296017
Austria,Japan,859961,866837,1161377,1254245
Austria,Slovenia,692260,730355,935091,1185979
Austria,Russian Federation,722031,728406,1030360,1114684
Austria,China,353629,481424,673846,780601
Austria,Croatia,267949,365720,479386,756566
Austria,Romania,341666,421468,567158,731579
Austria,"Korea, Republic of",223567,397731,415873,669905
Austria,Denmark,414653,487034,635002,646229
Austria,"Hong Kong, China",437629,357602,445084,583517
Austria,Türkiye,341346,367295,473167,561041
Austria,Finland,460142,431583,522712,535705
Austria,Ireland,364694,316301,375379,462653
Austria,"Taipei, Chinese",358034,271764,330833,341680
Austria,Luxembourg,95799,108232,159327,293277
Austria,Ukraine,173890,236166,257916,247733
Austria,Malaysia,141415,219517,231246,236857
Austria,Canada,196439,155439,178352,224877
Austria,Bulgaria,85203,96131,152316,218628
Austria,Portugal,165351,160614,192925,212282
Austria,Norway,135252,143172,151241,194068
Austria,Thailand,99293,100849,129534,183181
Austria,South Africa,82568,85025,105320,168584
Austria,Greece,68895,74794,117827,158525
Austria,Singapore,111873,105346,120460,155739
Austria,India,80336,81582,91413,118035
Austria,Brazil,83402,57206,61279,106952
Austria,Serbia and Montenegro,33859,64806,,94861
Austria,Israel,83127,74214,68393,83958
Austria,Bosnia and Herzegovina,,,40821,73612
Austria,Viet Nam,28853,29748,38137,59545
Austria,Australia,33177,17767,34966,48673
Austria,Morocco,23806,29677,46550,47376
Austria,Syrian Arab Republic,6118,5451,2689,43974
Austria,Lithuania,12151,11408,22315,28342
Austria,Mexico,88392,60951,15795,27639
Austria,Estonia,19540,21123,28180,25655
Austria,Pakistan,,,26047,24169
Austria,Indonesia,26721,28492,25979,22561
Austria,Philippines,37799,43069,24089,21056
Austria,Latvia,12169,13711,14326,19567
Austria,Bangladesh,11166,10483,16604,19294
Austria,Belarus,10981,10065,16159,18123
Austria,Cyprus,3818,4670,5804,12155
Austria,Argentina,4390,6806,7775,12084
Austria,New Zealand,7934,4269,7899,11306
Austria,Tunisia,6016,8572,10280,10668
Austria,"Moldova, Republic of",8501,7225,11321,10033
Austria,Chile,16739,11142,10267,9138
Austria,"Macedonia, North",6236,6500,7680,8514
Austria,Sri Lanka,7663,6658,6562,6766
Austria,Zimbabwe,554,1932,2701,6268
Austria,Iceland,2737,2448,3499,5933
Austria,"Iran, Islamic Republic of",9631,8163,6544,5846
Austria,Malta,2127,2083,3424,4462
Austria,"Macao, China",5297,5003,4055,3554
Austria,Colombia,3426,3482,2950,3162
Austria,Kyrgyzstan,1441,1486,1846,2850
Austria,Egypt,2330,1689,2369,2777
Austria,Cambodia,724,1212,1490,2685
Austria,Mauritius,4166,3172,3399,2595
Austria,Dominican Republic,215,137,730,2438
Austria,"Bolivia, Plurinational State of",457,1094,2391,2060
Austria,Albania,728,748,5550,1951
Austria,Armenia,9,45,77,1599
Austria,Qatar,0,39,9966,1485
Austria,Malawi,1792,3111,7180,1455
Austria,Uganda,545,108,337,1169
Austria,Azerbaijan,64,12,434,1121
Austria,Nicaragua,61,746,824,1073
Austria,Kazakhstan,3170,3307,668,770
Austria,Zambia,2316,263,265,721
Austria,Jordan,351,448,792,687
Austria,Guatemala,472,674,588,656
