reporter,Importers,Exported value in 2001,Exported value in 2002,Exported value in 2003
Dominican Republic,United States of America,4183435,4271428,4558007
Dominican Republic,"Korea, Republic of",37573,21808,71844
Dominican Republic,Canada,61753,75350,81885
Dominican Republic,Belgium,27293,51438,51130
Dominican Republic,Finland,10630,14997,32673
Dominican Republic,United Kingdom,44916,59312,76976
Dominican Republic,Netherlands,99237,46834,43636
Dominican Republic,Japan,26662,35010,44771
Dominican Republic,Germany,47224,54441,54921
Dominican Republic,France,49613,56125,44907
Dominican Republic,Spain,24629,33131,41386
Dominican Republic,Mexico,16094,17722,16408
Dominican Republic,Italy,23190,31165,28100
Dominican Republic,Cuba,16483,16011,17241
Dominican Republic,Guatemala,8021,14322,15722
Dominican Republic,Jamaica,9302,12056,17772
Dominican Republic,China,224,1814,3514
Dominican Republic,Panama,3887,3551,6484
Dominican Republic,Trinidad and Tobago,4354,4423,6268
Dominican Republic,Costa Rica,4125,5420,5617
Dominican Republic,Switzerland,7592,12322,15481
Dominican Republic,"Taipei, Chinese",1112,1335,2352
Dominican Republic,Honduras,4646,7280,3821
Dominican Republic,"Hong Kong, China",1159,1875,4279
Dominican Republic,Austria,2538,3385,6258
Dominican Republic,Ghana,0,,1
Dominican Republic,Australia,3728,3092,2670
Dominican Republic,"Venezuela, Bolivarian Republic of",7336,4341,2257
Dominican Republic,El Salvador,1283,1775,4206
Dominican Republic,Norway,879,1092,3074
Dominican Republic,Nicaragua,1510,1648,1476
Dominican Republic,Colombia,1614,3053,2631
Dominican Republic,Malaysia,149,844,2421
Dominican Republic,Poland,3081,3297,3852
Dominican Republic,Türkiye,149,540,1044
Dominican Republic,India,0,70,1083
Dominican Republic,Czech Republic,1046,1565,4804
Dominican Republic,Guyana,1825,2292,1053
Dominican Republic,Barbados,2738,3003,3107
Dominican Republic,Sweden,3936,8014,10819
Dominican Republic,Chile,280,1065,1615
Dominican Republic,Belize,71,69,180
Dominican Republic,Georgia,0,120,486
Dominican Republic,Ecuador,1054,507,3535
Dominican Republic,Brazil,1790,1664,1797
Dominican Republic,Singapore,1086,1718,1040
Dominican Republic,Armenia,254,193,3361
Dominican Republic,Peru,689,409,572
Dominican Republic,Thailand,596,203,342
Dominican Republic,Saint Lucia,1205,1510,1665
Dominican Republic,South Africa,858,1008,1437
Dominican Republic,Denmark,1193,642,767
Dominican Republic,Russian Federation,417,472,1135
Dominican Republic,Greece,1679,1399,1712
Dominican Republic,Algeria,0,17,392
Dominican Republic,Lebanon,434,631,947
Dominican Republic,Morocco,1809,1186,1117
Dominican Republic,Romania,140,351,246
Dominican Republic,Argentina,964,442,540
Dominican Republic,"Macao, China",366,440,723
Dominican Republic,Ukraine,1,23,3
Dominican Republic,New Zealand,449,667,553
Dominican Republic,Saint Vincent and the Grenadines,749,1004,889
Dominican Republic,"Bolivia, Plurinational State of",14,33,266
Dominican Republic,Bahamas,261,403,450
Dominican Republic,Dominica,844,909,679
Dominican Republic,Slovakia,227,451,1507
Dominican Republic,Saint Kitts and Nevis,608,598,539
Dominican Republic,Estonia,127,196,202
Dominican Republic,Saudi Arabia,0,27,1358
Dominican Republic,Croatia,364,585,697
Dominican Republic,Cyprus,146,95,468
Dominican Republic,Qatar,9,0,5
Dominican Republic,Slovenia,116,209,285
Dominican Republic,Grenada,227,302,489
Dominican Republic,Andorra,276,311,525
Dominican Republic,Ireland,409,687,1381
Dominican Republic,Israel,68,280,388
Dominican Republic,Montserrat,1,8,56
Dominican Republic,Serbia and Montenegro,16,39,
Dominican Republic,Suriname,505,,
Dominican Republic,Kuwait,0,187,105
Dominican Republic,Turks and Caicos Islands,43,94,229
Dominican Republic,Bangladesh,3,35,38
Dominican Republic,Bulgaria,8,22,60
Dominican Republic,Iceland,63,55,119
Dominican Republic,Lithuania,63,87,172
Dominican Republic,Uruguay,508,51,132
Dominican Republic,Mauritius,45,60,106
Dominican Republic,Tunisia,1223,179,95
Dominican Republic,Belarus,5,9,12
Dominican Republic,Hungary,377,544,870
Dominican Republic,Pakistan,,,49
Dominican Republic,Portugal,150,144,119
Dominican Republic,Madagascar,0,0,521
Dominican Republic,Luxembourg,11,4,2
Dominican Republic,Latvia,4,18,70
Dominican Republic,Egypt,0,0,0
Dominican Republic,Philippines,36,10,10
Dominican Republic,"Macedonia, North",1,13,32
Dominican Republic,Bosnia and Herzegovina,,,25
Dominican Republic,Paraguay,4,1,1
Dominican Republic,French Polynesia,16,19,31
Dominican Republic,Indonesia,0,17,3
Dominican Republic,Malta,75,64,80
Dominican Republic,Bahrain,49,35,46
Dominican Republic,New Caledonia,2,0,43
Dominican Republic,"Moldova, Republic of",1,5,18
Dominican Republic,Sudan (before 2012),0,141,0
Dominican Republic,Kazakhstan,8,20,4
Dominican Republic,Faroe Islands,1,2,5
Dominican Republic,Azerbaijan,4,0,0
Dominican Republic,Cameroon,3,0,0
Dominican Republic,Brunei Darussalam,0,0,3
Dominican Republic,Sri Lanka,60,0,0
Dominican Republic,Mayotte,0,2,0
Dominican Republic,Côte d'Ivoire,1,0,0
Dominican Republic,Kenya,0,0,1
Dominican Republic,Mozambique,0,0,43
Dominican Republic,Papua New Guinea,0,0,3
Dominican Republic,Viet Nam,0,698,92
Dominican Republic,Zimbabwe,0,0,1
Dominican Republic,Togo,1,0,28
Dominican Republic,Nepal,,,2
Dominican Republic,Nigeria,640,11282,1947
Dominican Republic,Anguilla,202,411,663
