reporter,Exporters,Imported value in 2001,Imported value in 2002,Imported value in 2003
Bahrain,Saudi Arabia,117003,280509,426608
Bahrain,Japan,165290,254661,343709
Bahrain,Germany,175480,222976,243343
Bahrain,United States of America,432711,419332,508402
Bahrain,United Kingdom,224678,198879,254003
Bahrain,France,89274,89249,114404
Bahrain,Italy,97639,107430,128428
Bahrain,India,79455,91637,100949
Bahrain,Switzerland,58629,125943,86571
Bahrain,China,52087,57918,83153
Bahrain,Brazil,51299,68196,70834
Bahrain,Netherlands,65870,66077,75631
Bahrain,Belgium,44296,43811,65772
Bahrain,"Korea, Republic of",46596,61408,52698
Bahrain,Australia,52258,54239,69402
Bahrain,Finland,10727,16273,26226
Bahrain,Türkiye,11159,16936,28856
Bahrain,Thailand,32970,34984,40572
Bahrain,Spain,28542,38255,40300
Bahrain,Austria,13790,10600,22187
Bahrain,"Hong Kong, China",53283,47465,40527
Bahrain,Singapore,20900,30022,31484
Bahrain,Pakistan,,,39429
Bahrain,Qatar,10116,29245,35387
Bahrain,Kuwait,25982,25212,41902
Bahrain,Malaysia,27119,32137,33146
Bahrain,Sweden,32204,25898,31848
Bahrain,"Iran, Islamic Republic of",15609,16755,18704
Bahrain,Jordan,18667,19256,18255
Bahrain,Oman,15357,22437,2810
Bahrain,Indonesia,17906,16670,17407
Bahrain,Canada,8768,9953,12301
Bahrain,Denmark,16222,15878,17441
Bahrain,"Taipei, Chinese",16573,15832,18738
Bahrain,Syrian Arab Republic,22619,28659,17876
Bahrain,Lebanon,7368,8126,9660
Bahrain,Ireland,20587,21280,13479
Bahrain,South Africa,6328,9536,11396
Bahrain,New Zealand,7834,7481,8317
Bahrain,Hungary,1226,2966,6580
Bahrain,Argentina,18862,2285,8724
Bahrain,Tunisia,7964,8524,5957
Bahrain,Poland,849,1017,1263
Bahrain,Norway,2898,4449,4807
Bahrain,Portugal,1627,5846,4545
Bahrain,Mali,0,0,8
Bahrain,Sri Lanka,1805,2647,3280
Bahrain,Czech Republic,2145,1641,2148
Bahrain,Romania,2259,4530,8248
Bahrain,Luxembourg,740,351,969
Bahrain,Greece,5040,2977,3383
Bahrain,Croatia,638,972,253
Bahrain,Bangladesh,776,1033,2277
Bahrain,Egypt,2314,2519,2606
Bahrain,Philippines,3303,2755,2520
Bahrain,Kenya,381,6843,498
Bahrain,Chile,1157,1442,1569
Bahrain,Cyprus,1930,1771,1724
Bahrain,Slovakia,100,338,1606
Bahrain,Viet Nam,368,171,256
Bahrain,Morocco,477,593,552
Bahrain,Russian Federation,690,398,1248
Bahrain,Mozambique,0,0,0
Bahrain,Malta,405,709,786
Bahrain,Slovenia,210,409,316
Bahrain,Guatemala,494,465,298
Bahrain,Bulgaria,133,490,495
Bahrain,Israel,7,4,10
Bahrain,Mauritius,1105,4,4
Bahrain,Paraguay,0,0,1
Bahrain,Serbia and Montenegro,162,177,
Bahrain,Yemen,,,
Bahrain,Ukraine,9,1045,1227
Bahrain,Colombia,28,547,459
Bahrain,Mexico,626,2567,373
Bahrain,Belarus,0,0,6
Bahrain,Peru,5,47,157
Bahrain,Bosnia and Herzegovina,,,71
Bahrain,Lithuania,42,83,42
Bahrain,"Tanzania, United Republic of",44,0,433
Bahrain,"Moldova, Republic of",0,0,0
Bahrain,Iceland,123,10,0
Bahrain,Estonia,252,10,46
Bahrain,Sudan (before 2012),258,51,55
Bahrain,Latvia,33,25,52
Bahrain,"Venezuela, Bolivarian Republic of",0,0,260
Bahrain,Barbados,0,57,73
Bahrain,Ecuador,6,7,31
Bahrain,Guyana,0,2,24
Bahrain,Senegal,0,0,0
Bahrain,Suriname,0,,
Bahrain,"Macao, China",7,0,0
Bahrain,Zimbabwe,0,5,0
Bahrain,Cambodia,0,0,3
Bahrain,Ethiopia,0,0,2
Bahrain,Botswana,0,1,1
Bahrain,Ghana,0,,543
Bahrain,Armenia,14,0,0
Bahrain,Côte d'Ivoire,3141,544,13
Bahrain,Algeria,0,0,12
Bahrain,Andorra,0,15,10
Bahrain,Belize,0,0,5
Bahrain,Brunei Darussalam,0,21,8
Bahrain,Costa Rica,165,33,1
Bahrain,Cuba,1,1,0
Bahrain,Benin,0,0,116
Bahrain,Dominican Republic,0,0,1
Bahrain,Gabon,84,0,0
Bahrain,Madagascar,1278,427,35
Bahrain,Malawi,29,0,0
Bahrain,Niger,0,0,246
Bahrain,Rwanda,0,0,24
Bahrain,Seychelles,3,165,13
Bahrain,Togo,7,25,0
Bahrain,Trinidad and Tobago,53,0,0
Bahrain,Turks and Caicos Islands,5,0,0
Bahrain,Uganda,15,0,0
Bahrain,"Macedonia, North",0,35,32
Bahrain,Uruguay,0,118,0
Bahrain,Zambia,2,0,0
Bahrain,Nepal,,,396
Bahrain,Nigeria,0,0,2
