partner,reporter,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Japan,Côte d'Ivoire,10136,7806,8315,7580,8053,5706,4241,3008,9631,6269,8240,5764,2771,2257,2839,3027,2113,1758,1520,
Japan,Jamaica,34838,15542,28720,28122,23917,37326,15761,13691,10625,12320,9172,17452,19788,12311,9342,8331,8669,7169,10539,
Japan,Kazakhstan,29689,137283,214144,382644,803904,247528,539274,1043880,1146374,627753,741031,858554,558595,886456,1502976,880026,664154,557260,782098,
Japan,Jordan,16953,26380,42478,66833,157731,126954,57347,46701,46558,43006,32613,23221,23194,26218,33615,24936,22189,32237,86950,
Japan,Kenya,21224,24962,17479,19343,33948,28829,26374,24765,29100,31477,40093,41393,40127,43573,50066,53576,45014,61272,50816,
Japan,Kyrgyzstan,7,416,1124,1672,3124,4,820,146,489,840,906,1663,259,286,462,337,600,488,1278,
Japan,Lebanon,6066,4439,6766,4418,4552,2148,13589,21945,25912,29688,14197,2905,12266,5850,6041,6149,7596,1943,1059,
Japan,"Macao, China",23030,21805,18626,15578,13173,5416,3766,3927,4438,4972,3287,12983,24351,20643,5673,1812,1311,1128,3963,
Japan,Malawi,9817,7695,2193,1097,332,1101,2703,1551,2228,1379,1497,1551,1419,723,1678,2327,1510,1614,1873,
Japan,Maldives,14384,22557,20406,4928,3615,3046,1288,3739,3340,5124,7676,4693,2966,3186,2931,2311,2583,5449,3003,
Japan,Mauritius,15912,17150,17029,9890,8783,10062,20486,13960,35270,25638,38099,27733,28831,25156,22150,33873,20288,14335,3097,
Japan,Mexico,544332,1469999,1594042,1912617,2045908,1600571,1923190,2252212,2610661,2219521,2604742,3011832,3772091,4050238,3289494,3938322,3623361,3981444,4340092,
Japan,"Moldova, Republic of",68,269,686,667,1890,554,412,934,1076,458,1446,1290,827,1051,1534,1889,2234,3205,2874,
Japan,Morocco,72973,114145,101601,160288,229782,164581,132454,153819,204523,261647,218074,164608,188816,199131,211706,256848,168478,194416,316008,
Japan,Mozambique,12784,8785,7040,2519,13330,4532,3873,1382,9018,20317,50416,17814,31209,16967,40649,101796,33253,91702,115423,
Japan,Oman,1860899,2789064,2028576,2920459,4000622,3046684,3689165,3988138,44236,2175239,29345,635024,34798,58115,59049,70025,45856,35624,34480,
Japan,Namibia,16614,31840,42004,17179,10710,17547,54092,11429,7048,8877,9398,10096,7158,6303,7143,6433,6886,6301,4978,
Japan,Nicaragua,7458,10433,9114,12805,17944,9063,15510,23331,25486,22148,24170,18578,22593,27671,17678,13235,17815,19318,20560,
Japan,Niger,34164,41053,44548,66641,73349,569,79226,98041,65183,579,1802,7746,2024,10574,1362,0,8959,7,0,
Japan,Pakistan,133955,143352,133840,124397,155653,98323,123382,206430,191281,184316,193918,182283,171225,216894,217359,202779,166710,202910,233576,
Japan,Panama,2513,3412,6708,9277,6425,426297,95085,290477,9340,325333,18228,35592,89008,48631,9123,55769,131905,518722,557318,
